window,side,touchdown_time_sec,sample_count,duration_sec,cmd_state_left_lag_ms,cmd_state_left_corr,cmd_state_right_lag_ms,cmd_state_right_corr,state_joint_left_lag_ms,state_joint_left_corr,state_joint_right_lag_ms,state_joint_right_corr,state_joint_mean_lag_ms,joint_sole_lag_ms_raw,joint_sole_lag_ms,joint_sole_corr,joint_sole_pass_corr_gate,mean_abs_sole_roll,case_label,diag_csv
touchdown,left,1777514595.4976962,15,0.14009833335876465,0.0,0.0,0.0,0.0,0.0,0.8711210732919336,0.0,0.9094251333772021,0.0,142.09628105163574,nan,0.0,0,0.07762565573412063,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,right,1777514595.8676746,33,0.31986021995544434,0.0,0.0,0.0,0.0,0.0,0.8669520069557132,161.0424518585205,0.3860463266756741,80.52122592926025,75.78468322753906,75.78468322753906,0.3947132828100865,1,0.06293701832076841,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,right,1777514595.8676746,14,0.12996196746826172,0.0,0.0,0.0,0.0,0.0,0.7687184990830171,0.0,0.687425809499999,0.0,28.41925621032715,28.41925621032715,0.2415793988870482,1,0.026038171938829006,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,left,1777514825.8477206,33,0.3201284408569336,0.0,0.0,0.0,0.0,0.0,0.7043836751860441,203.92847061157227,1.019690387834278,101.96423530578613,203.92847061157227,203.92847061157227,0.8691092785731414,1,0.15566845434561372,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,left,1777514825.8477206,14,0.1298964023590088,0.0,0.0,0.0,0.0,0.0,0.7731607644690761,27.808427810668945,0.07169857154118578,13.904213905334473,0.0,0.0,0.695482113690672,1,0.064401090702265,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,right,1777514826.1375866,33,0.32009291648864746,0.0,0.0,0.0,0.0,166.85056686401367,1.5974150705561878,9.269475936889648,0.851530859665778,88.06002140045166,74.15580749511719,74.15580749511719,0.48469458043276686,1,0.17679513265319743,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,right,1777514826.1375866,16,0.14993810653686523,0.0,0.0,0.0,0.0,0.0,0.8760074720799007,148.31161499023438,0.0,74.15580749511719,46.34737968444824,46.34737968444824,0.5353161140340866,1,0.09950802761341104,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,left,1777514826.4476342,32,0.3098018169403076,0.0,0.0,0.0,0.0,18.538951873779297,0.8471848845288568,0.0,0.9255791190292502,9.269475936889648,9.269475936889648,9.269475936889648,0.2846118106694434,1,0.039027687954762746,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,left,1777514826.4476342,15,0.1397855281829834,0.0,0.0,0.0,0.0,0.0,0.8586774641091509,0.0,0.5903977783127633,0.0,9.269475936889648,9.269475936889648,0.7827857054514035,1,0.06620366031395374,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,right,1777514826.837477,34,0.32985758781433105,0.0,0.0,0.0,0.0,0.0,0.29180123742197733,0.0,0.21682508194160413,0.0,0.0,0.0,0.8952044756688485,1,0.48774232955251984,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,right,1777514826.837477,15,0.14015865325927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0,0.36357189461318457,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,left,1777515244.4189363,33,0.3200111389160156,0.0,0.0,0.0,0.0,0.0,0.4471812265391943,155.58695793151855,0.8452592742758372,77.79347896575928,45.7608699798584,45.7608699798584,0.6634782228885704,1,0.08108287768426926,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,left,1777515244.4189363,15,0.13996124267578125,0.0,0.0,0.0,0.0,0.0,0.751426413116873,27.45652198791504,0.6569083548354008,13.72826099395752,18.30434799194336,18.30434799194336,0.599447376927479,1,0.029837981994658723,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
swing,right,1777515244.758935,33,0.3199639320373535,0.0,0.0,0.0,0.0,173.8913059234619,0.6182553650365958,0.0,0.7419406183704995,86.94565296173096,118.97826194763184,118.97826194763184,0.5281268914256482,1,0.19931470155863398,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,right,1777515244.758935,15,0.13997626304626465,0.0,0.0,0.0,0.0,0.0,0.31577097922488784,36.60869598388672,0.21372452943383796,18.30434799194336,36.60869598388672,36.60869598388672,0.2529545311369816,1,0.07210980134433645,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
swing,left,1777515245.0688696,33,0.3199753761291504,0.0,0.0,0.0,0.0,18.30434799194336,0.6932963165007033,0.0,0.8996370668087035,9.15217399597168,201.34782791137695,201.34782791137695,0.41145063471188925,1,0.18296090062753567,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,left,1777515245.0688696,15,0.14008855819702148,0.0,0.0,0.0,0.0,0.0,0.7045062954183513,27.45652198791504,0.8252168030806822,13.72826099395752,27.45652198791504,27.45652198791504,0.6590935376388841,1,0.1166587233715521,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
swing,right,1777515245.4290211,32,0.30995917320251465,0.0,0.0,0.0,0.0,0.0,0.9185147063809258,9.15217399597168,0.9504836510806783,4.57608699798584,100.67391395568848,100.67391395568848,0.6157742346287773,1,0.13434274584757522,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,right,1777515245.4290211,16,0.14990854263305664,0.0,0.0,0.0,0.0,0.0,0.8674882332898318,9.15217399597168,0.8976180721231085,4.57608699798584,146.43478393554688,nan,0.0,0,0.06634544695179594,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
