case_label,diag_csv,window,side,touchdown_time_sec,actuator_name,lag_ms,lag_corr,raw_corr,gain,hysteresis_area,stiction_ratio,shape_flag
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,left,1777514425.3588588,left_ankle_right_actuator,0.0,0.7751585544645485,0.9672768960632113,0.3049028208891338,0.3479105453713428,0.2222222222222222,backlash_like
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,right,1777514425.7388427,right_ankle_left_actuator,0.0,0.9356075567821288,0.4632255276631394,0.11019907041154023,0.20570223188032744,0.21428571428571427,"backlash_like,low_realization_gain"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,right,1777514425.7388427,right_ankle_right_actuator,150.19655227661133,0.28549348024163573,0.7141940937816977,0.2131454040759685,0.2226462448819563,0.35714285714285715,"overall_slow,stick_slip_like,backlash_like"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,right,1777514425.7388427,right_ankle_left_actuator,139.86635208129883,0.0,nan,nan,nan,nan,overall_slow
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,right,1777514425.7388427,right_ankle_right_actuator,0.0,0.5131030456763622,0.9457502027067094,0.04818723913919516,0.5179259799060028,0.0,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,left,1777514594.847755,left_ankle_left_actuator,0.0,0.6451063813066163,-0.07291935805883659,-0.02926566215582529,0.4901117905119548,0.0,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,left,1777514594.847755,left_ankle_right_actuator,199.11766052246094,0.16997389762563986,-0.41616972298577054,-0.2888345027153348,0.6746738717927289,0.0,"overall_slow,backlash_like"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,left,1777514594.847755,left_ankle_left_actuator,0.0,0.780983307898987,0.7466276575607059,0.11274153732638699,0.2778431395140539,0.2,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,left,1777514594.847755,left_ankle_right_actuator,39.928436279296875,0.2566304165596792,0.7416143123551735,0.07017115242363253,0.3115060460298764,0.0,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,right,1777514595.1277688,right_ankle_left_actuator,196.1994171142578,0.7298063610261741,0.3895807244886692,0.19727694009862337,1.0951325479114304,0.2,"overall_slow,backlash_like,low_realization_gain"
