dataset,side,phase_bin,norm_phase,mean_sole_roll_rad,mean_abs_sole_roll_rad,mean_sole_pitch_rad,mean_abs_sole_pitch_rad,mean_rel_height_m
high_kp_right_roll_50_0p8,right,8,0.4,-0.38179946215729665,0.38179946215729665,0.17401987107851435,0.2060879097990092,0.08757564510390926
high_kp_right_roll_50_0p8,right,9,0.45,-0.37970394355485326,0.37970394355485326,0.16342495468370385,0.1960960987011834,0.09133020239579272
high_kp_right_roll_50_0p8,right,10,0.5,-0.35265582532080186,0.35265582532080186,0.1178237926218932,0.14396765122290067,0.0924032435300739
high_kp_right_roll_50_0p8,right,11,0.55,-0.32575865788260927,0.32575865788260927,0.05842782118414286,0.07654353041089981,0.09166929734150867
high_kp_right_roll_50_0p8,right,12,0.6,-0.3029352497020331,0.3029352497020331,-0.008105118719832063,0.008105118719832063,0.08896908273360234
high_kp_right_roll_50_0p8,right,13,0.65,-0.2835278813720128,0.2835278813720128,-0.07487683305546602,0.08188688533229158,0.08444353416952666
high_kp_right_roll_50_0p8,right,14,0.7,-0.2660022104808184,0.2660022104808184,-0.14842668301706893,0.16720806910860406,0.07804944141560284
high_kp_right_roll_50_0p8,right,15,0.75,-0.2538829319596121,0.2538829319596121,-0.19353567262360827,0.2187789875783348,0.07094435082641859
high_kp_right_roll_50_0p8,right,16,0.8,-0.22872215134834956,0.22872215134834956,-0.19286562082780465,0.22645208188456847,0.06225634468768548
high_kp_right_roll_50_0p8,right,17,0.85,-0.18568028358860117,0.18568028358860117,-0.1646297012977677,0.20416964410589347,0.05304292270867615
high_kp_right_roll_50_0p8,right,18,0.9,-0.1338142329116703,0.1338142329116703,-0.11463180276352099,0.15078568076701865,0.04341753532237719
high_kp_right_roll_50_0p8,right,19,0.95,-0.07870233065603283,0.07870233065603283,-0.060255273984654634,0.0889588490105909,0.034138022716752675
high_kp_right_roll_50_0p8,right,20,1.0,-0.019029290949072686,0.020262544841043728,0.021265568096442755,0.021265568096442755,0.02432788431010008
low_kp_all_ankles_25_0p5,left,0,0.0,0.1861741616213446,0.1861741616213446,0.056548282891924144,0.056548282891924144,0.023198771222710413
low_kp_all_ankles_25_0p5,left,1,0.05,0.22798744955025696,0.22798744955025696,0.04243085975192051,0.04243085975192051,0.03135437655455972
low_kp_all_ankles_25_0p5,left,2,0.1,0.25966469908150525,0.25966469908150525,0.03589349329251106,0.036032114160487703,0.03738186672449469
low_kp_all_ankles_25_0p5,left,3,0.15,0.2901419645472571,0.2901419645472571,0.025162856979572195,0.04070560284824201,0.04412261330567391
low_kp_all_ankles_25_0p5,left,4,0.2,0.32376324900276116,0.32376324900276116,0.012601582094559992,0.04489777906209849,0.05151509259464239
low_kp_all_ankles_25_0p5,left,5,0.25,0.355246979987695,0.355246979987695,-0.00011196042808793091,0.04534636456986657,0.0591668149663411
low_kp_all_ankles_25_0p5,left,6,0.3,0.3836636060255472,0.3836636060255472,-0.01228230719228978,0.046350521683730085,0.06735606460370008
low_kp_all_ankles_25_0p5,left,7,0.35,0.40467018325000875,0.40467018325000875,-0.02004309096416236,0.04983557377999824,0.07432601429376962
low_kp_all_ankles_25_0p5,left,8,0.4,0.4231246103663037,0.4231246103663037,-0.026029822422144844,0.051761172670214975,0.08075325054984614
low_kp_all_ankles_25_0p5,left,9,0.45,0.43412313114401946,0.43412313114401946,-0.03292544106601708,0.0500648062828012,0.08605872798689362
low_kp_all_ankles_25_0p5,left,10,0.5,0.43557512563463807,0.43557512563463807,-0.03916614510861311,0.04761352378335263,0.08954686663209067
low_kp_all_ankles_25_0p5,left,11,0.55,0.43148385144630486,0.43148385144630486,-0.04380012440536205,0.043997405408558475,0.09150865613191542
low_kp_all_ankles_25_0p5,left,12,0.6,0.41743946949846533,0.41743946949846533,-0.04621935608340806,0.04621935608340806,0.09069015250657175
low_kp_all_ankles_25_0p5,left,13,0.65,0.39458822834342067,0.39458822834342067,-0.04623380850384253,0.04623380850384253,0.08757479910807515
low_kp_all_ankles_25_0p5,left,14,0.7,0.362206667327409,0.362206667327409,-0.04546448336298581,0.04546448336298581,0.08228198118218968
low_kp_all_ankles_25_0p5,left,15,0.75,0.322126517033843,0.322126517033843,-0.040703896156435534,0.040703896156435534,0.07480187278088629
low_kp_all_ankles_25_0p5,left,16,0.8,0.2729986819059038,0.2729986819059038,-0.03369593533095588,0.03369593533095588,0.06542182044713958
low_kp_all_ankles_25_0p5,left,17,0.85,0.21525478391494401,0.21525478391494401,-0.02375854705018642,0.02375854705018642,0.054764522898835835
low_kp_all_ankles_25_0p5,left,18,0.9,0.15004827483730063,0.15004827483730063,-0.01294399870925688,0.01294399870925688,0.04333333492670319
low_kp_all_ankles_25_0p5,left,19,0.95,0.08660072080828701,0.08660072080828701,0.0021870738392304285,0.00559733283224168,0.032738507252745255
low_kp_all_ankles_25_0p5,left,20,1.0,0.005728868531344911,0.019104829311176963,0.017426337507751938,0.017426337507751938,0.021355343536839294
low_kp_all_ankles_25_0p5,right,0,0.0,-0.15557097070908676,0.15557097070908676,0.047759934175759675,0.047759934175759675,0.022648520260717703
low_kp_all_ankles_25_0p5,right,1,0.05,-0.2006469067361648,0.2006469067361648,0.048425929074220525,0.048425929074220525,0.02900698141620308
low_kp_all_ankles_25_0p5,right,2,0.1,-0.234392451745564,0.234392451745564,0.0425227876701913,0.0425227876701913,0.034430537110218096
low_kp_all_ankles_25_0p5,right,3,0.15,-0.264076602119398,0.264076602119398,0.03187410187186736,0.03187410187186736,0.04042972140773428
low_kp_all_ankles_25_0p5,right,4,0.2,-0.29771995135361345,0.29771995135361345,0.0194950455007153,0.0194950455007153,0.04773653374245543
low_kp_all_ankles_25_0p5,right,5,0.25,-0.33056877161086873,0.33056877161086873,0.006021460338772289,0.018475832845845648,0.056444875736126006
low_kp_all_ankles_25_0p5,right,6,0.3,-0.362093330758004,0.362093330758004,-0.006358728338668587,0.021789986030979994,0.06663297730507856
low_kp_all_ankles_25_0p5,right,7,0.35,-0.3866726996189481,0.3866726996189481,-0.012056876394400277,0.017507818865235412,0.07621051604092878
low_kp_all_ankles_25_0p5,right,8,0.4,-0.3962610625758417,0.3962610625758417,-0.012812276569640993,0.012812276569640993,0.08318942238823353
low_kp_all_ankles_25_0p5,right,9,0.45,-0.39555581834588427,0.39555581834588427,-0.009802638284555354,0.009802638284555354,0.08792023515823315
low_kp_all_ankles_25_0p5,right,10,0.5,-0.38520386334146006,0.38520386334146006,-0.0018521141511996415,0.005508154377823125,0.09017272835422963
low_kp_all_ankles_25_0p5,right,11,0.55,-0.36357709813089367,0.36357709813089367,0.004440296280277606,0.012438639851030307,0.08965495786873551
low_kp_all_ankles_25_0p5,right,12,0.6,-0.3302377051574131,0.3302377051574131,0.017940140385998962,0.017940140385998962,0.08594502305017115
low_kp_all_ankles_25_0p5,right,13,0.65,-0.28924654761433516,0.28924654761433516,0.034467159599105825,0.034467159599105825,0.07997421903869635
low_kp_all_ankles_25_0p5,right,14,0.7,-0.2420609439549306,0.2420609439549306,0.0483371603229293,0.0483371603229293,0.07264971008335636
low_kp_all_ankles_25_0p5,right,15,0.75,-0.19105463567815484,0.19105463567815484,0.060980256739929066,0.060980256739929066,0.06465190485357608
low_kp_all_ankles_25_0p5,right,16,0.8,-0.1369683121727752,0.1369683121727752,0.06806791864428971,0.06806791864428971,0.056218414752989346
low_kp_all_ankles_25_0p5,right,17,0.85,-0.08360678796990356,0.08360678796990356,0.07052446249226924,0.07052446249226924,0.047802329201251485
low_kp_all_ankles_25_0p5,right,18,0.9,-0.023330125381722643,0.04202708203287918,0.06825633257144276,0.06825633257144276,0.03867322400894223
low_kp_all_ankles_25_0p5,right,19,0.95,0.0421471009006706,0.04960849973363825,0.06046207351032883,0.06046207351032883,0.029673935163791826
low_kp_all_ankles_25_0p5,right,20,1.0,0.10242466444598397,0.10242466444598397,0.05110622992925734,0.05110622992925734,0.021505237874346383
low_kp_right_roll_25_0p5,left,0,0.0,0.19501444036847626,0.19501444036847626,-0.046499769200150504,0.12308137152912185,0.03355462718287
low_kp_right_roll_25_0p5,left,1,0.05,0.21737974255452258,0.21737974255452258,-0.06805868884789758,0.13922354772993112,0.03896268813565452
low_kp_right_roll_25_0p5,left,2,0.1,0.23884273183854354,0.23884273183854354,-0.09035685962305776,0.14681954519463586,0.04515390497268548
low_kp_right_roll_25_0p5,left,3,0.15,0.25233098195299647,0.25233098195299647,-0.1133313202152636,0.14757977467317102,0.05157665638889414
low_kp_right_roll_25_0p5,left,4,0.2,0.26199817984423496,0.26199817984423496,-0.13211335307486186,0.14096174691023503,0.057942970582002824
low_kp_right_roll_25_0p5,left,5,0.25,0.26760731773244495,0.26760731773244495,-0.14728808060709142,0.14728808060709142,0.06352527414324252
low_kp_right_roll_25_0p5,left,6,0.3,0.27372638481877104,0.27372638481877104,-0.15930182444497057,0.15930182444497057,0.06943388593897151
low_kp_right_roll_25_0p5,left,7,0.35,0.27895087429893045,0.27895087429893045,-0.1697520587112223,0.1697520587112223,0.0765746987503148
low_kp_right_roll_25_0p5,left,8,0.4,0.2788176180968077,0.2788176180968077,-0.17618092412805628,0.17618092412805628,0.08279601515248089
low_kp_right_roll_25_0p5,left,9,0.45,0.2754500085539849,0.2754500085539849,-0.17371465722607543,0.17371465722607543,0.08760248729831535
low_kp_right_roll_25_0p5,left,10,0.5,0.2682334818637872,0.2682334818637872,-0.1721741656523975,0.1721741656523975,0.09063395982793479
low_kp_right_roll_25_0p5,left,11,0.55,0.2527003271153515,0.2527003271153515,-0.15473848737075957,0.15473848737075957,0.09156958300196248
low_kp_right_roll_25_0p5,left,12,0.6,0.23315501918911632,0.23315501918911632,-0.13144189650498075,0.13144189650498075,0.09025451965016387
