window,touchdown_time_sec,sample_count,mean_action_abs,mean_action_signed,action_joint_lag_ms,action_joint_corr,case_label,diag_csv
swing,1777364004.851921,33,0.056410206121212114,0.04887978054545453,18.512248992919922,0.46931642332437884,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
touchdown,1777364004.851921,16,0.6188455574999999,-0.5456685675,46.280622482299805,0.3646042274987722,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
swing,1777364592.8569982,33,0.05841441786,0.057497951230909096,83.44244956970215,0.26288692156654586,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
touchdown,1777364592.8569982,16,0.39609091250000006,-0.29170105,9.271383285522461,0.24058177645391157,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
swing,1777364593.5368745,33,0.07332832196969696,-0.03829710227272728,176.15628242492676,0.5047364069410777,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
touchdown,1777364593.5368745,15,0.4570421333333334,-0.4570421333333334,0.0,0.20885186335275682,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
swing,1777364594.286977,32,0.08990476031250001,0.04685670843749999,46.356916427612305,0.2891820381695195,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
touchdown,1777364594.286977,15,0.4319344,-0.3825897333333333,139.0707492828369,0.0,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
swing,1777364595.0369937,34,0.12694670235294117,-0.04731192647058823,37.085533142089844,0.3759441929022977,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
touchdown,1777364595.0369937,16,0.55955875,-0.55955875,0.0,0.08215732874094187,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
swing,1777365506.3523164,33,0.05930080121212121,0.056946881212121214,64.05186653137207,0.32828973492242447,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
touchdown,1777365506.3523164,14,0.3787862928571429,-0.2841277071428571,27.4507999420166,0.07878656921980705,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
swing,1777365507.1121218,33,0.13307304224242425,-0.08469731533333333,45.751333236694336,0.3150824601070826,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
touchdown,1777365507.1121218,14,0.5554622142857143,-0.5554622142857143,27.4507999420166,0.1998225195843466,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
swing,1777365507.7821488,34,0.058217131176470586,-0.003727814117647064,91.50266647338867,0.1964136458269553,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
touchdown,1777365507.7821488,15,0.45932913999999997,-0.43189059333333335,137.253999710083,0.0,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
swing,1777365508.4322755,32,0.058296643749999974,0.058296643749999974,155.55453300476074,0.3084926384902609,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
touchdown,1777365508.4322755,16,0.31191299375000003,-0.25165513125,45.751333236694336,0.5725482153395978,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
swing,1777366097.8991373,34,0.11275189205882352,0.04083216264705883,9.427309036254883,0.5634168557510298,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
touchdown,1777366097.8991373,15,0.771417,-0.771417,37.70923614501953,0.37272412568711966,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
swing,1777366098.539241,33,0.04526479384848484,0.020697044333333334,188.54618072509766,0.7064102758292049,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
touchdown,1777366098.539241,15,0.34280336666666666,-0.3413224066666667,0.0,0.40187869930805226,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
swing,1777366099.309255,33,0.15207388000000002,-0.11040752545454545,75.41847229003906,0.05472983232139511,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
touchdown,1777366099.309255,15,0.5821770333333335,-0.5821770333333335,9.427309036254883,0.37861767796219087,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
swing,1777366099.9892983,33,0.11278197606060607,0.02765702939393939,18.854618072509766,0.2449830297987656,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
touchdown,1777366099.9892983,15,0.5788534,-0.5788534,141.40963554382324,0.0,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
swing,1777450369.4322302,33,0.1327604666666667,0.10497647272727273,130.19800186157227,0.389492878816623,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
touchdown,1777450369.4322302,16,0.52160499375,-0.28113825625,0.0,0.1701233106260224,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
swing,1777450370.272273,32,0.21311724062500007,-0.18196131562500004,34.71946716308594,0.08852023087382202,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
touchdown,1777450370.272273,15,0.5161916666666667,-0.5161916666666667,0.0,0.2640156329421252,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
swing,1777450370.8622909,33,0.06775342575757577,0.002632104545454555,34.71946716308594,0.3559534534175,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
touchdown,1777450370.8622909,15,0.29387475333333335,-0.29048366,34.71946716308594,0.128273712611164,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
swing,1777450371.6623144,32,0.16523489125000002,-0.12423498374999999,43.39933395385742,0.18081056876391685,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
