side,touchdown_time_sec,sample_count,duration_sec,sole_mean_abs,sole_std,action_to_sole_lag_ms,raw_to_sole_lag_ms,lpf_to_sole_lag_ms,pos_to_sole_lag_ms,lpf_to_pos_lag_ms,action_to_sole_corr,raw_to_sole_corr,lpf_to_sole_corr,pos_to_sole_corr,lpf_to_pos_corr,sole_source_guess,h2_proxy_supported,case_label,suffix
right,1777364594.1869247,14,0.12984061241149902,1.7879544433011516,0.23909667927815748,0.0,0.0,129.79936599731445,129.79936599731445,129.79936599731445,0.6112430596336933,0.6112420834146405,0.0,0.0,0.0,output_chain_dominant,0,40/0.8 right_roll,20260428_162312
left,1777364594.4870217,14,0.13001537322998047,1.50920531842281,0.1190397797145676,0.0,0.0,129.79936599731445,9.271383285522461,129.79936599731445,0.4488092582394652,0.44880946218361023,0.0,0.9650083746304691,0.0,execution_chain_dominant,1,40/0.8 right_roll,20260428_162312
right,1777365506.4623764,16,0.14993643760681152,1.5975713281797117,0.021639672162614244,27.4507999420166,27.4507999420166,146.40426635742188,36.60106658935547,146.40426635742188,0.25311287020452583,0.2531133188265962,0.0,0.42287573294021874,0.0,execution_chain_dominant,1,25/0.5 right_roll,20260428_163825
right,1777365507.162104,15,0.14013314247131348,1.5711971126900834,0.01875695097036815,36.60106658935547,36.60106658935547,137.253999710083,0.0,137.253999710083,0.22125907414416623,0.22125940108907174,0.0,0.782048910945913,0.0,execution_chain_dominant,1,25/0.5 right_roll,20260428_163825
left,1777365507.512156,16,0.14995050430297852,1.5466474281599176,0.018798557829125376,18.300533294677734,18.300533294677734,146.40426635742188,0.0,146.40426635742188,0.28411973499206916,0.28412395120730755,0.0,0.6888986052299948,0.0,execution_chain_dominant,1,25/0.5 right_roll,20260428_163825
left,1777365508.1421504,15,0.14008307456970215,1.5822862156265602,0.01611916704032084,36.60106658935547,36.60106658935547,137.253999710083,0.0,137.253999710083,0.26391519747244996,0.2562968331043359,0.0,0.6812203668269365,0.0,execution_chain_dominant,1,25/0.5 right_roll,20260428_163825
left,1777366098.0990963,15,0.14005398750305176,1.7111284430760674,0.21176835420544435,28.28192710876465,28.28192710876465,141.40963554382324,0.0,141.40963554382324,0.5022386471542227,0.5022380023231389,0.0,0.8022841326430841,0.0,execution_chain_dominant,1,25/0.5 all_ankles,20260428_164817
right,1777366098.4592378,15,0.139998197555542,1.57052189785198,0.16364360768358843,9.427309036254883,9.427309036254883,141.40963554382324,37.70923614501953,141.40963554382324,0.7699711741086842,0.7699705458139998,0.0,0.7754425193808517,0.0,execution_chain_dominant,1,25/0.5 all_ankles,20260428_164817
right,1777366098.7492204,16,0.14992880821228027,1.591348578180403,0.007956140011432642,0.0,0.0,150.83694458007812,28.28192710876465,150.83694458007812,0.22930105673137774,0.22929927097353253,0.0,0.47922059023529423,0.0,execution_chain_dominant,1,25/0.5 all_ankles,20260428_164817
left,1777366098.8191562,15,0.13994407653808594,1.646382306749822,0.13511407316875443,18.854618072509766,18.854618072509766,141.40963554382324,0.0,141.40963554382324,0.5300258912640363,0.5300243104232617,0.0,0.32577573107830277,0.0,output_chain_dominant,1,25/0.5 all_ankles,20260428_164817
