dataset,kp_case,window,role,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,kp35_kd0.5,swing,opposite_leg,hip_pitch,1,6,40.79254053199338,3.6468550582313273,3.0470171661115675,3.0470171661115675,40.2717067019542,0.5050509867046595,1.8409487833333333,0.3225888333333333,14.338784141376044,1.238982013594937,0.5393912356592683
real,kp35_kd0.5,swing,opposite_leg,hip_roll,1,6,29.2303349795107,8.906614880454953,3.0470171661115675,3.0470171661115675,26.65773151598384,4.738925992184447,1.3898010666666665,0.11121526333333331,11.043427056168852,0.5298999595512323,0.6650969409248417
real,kp35_kd0.5,swing,opposite_leg,knee_pitch,1,6,27.78238638456307,4.1529242928930525,3.0470171661115675,3.0470171661115675,27.244751463232305,2.084353568113787,0.8139010166666666,0.40171699999999994,5.062880253049682,1.6584663665830146,0.2715921608680742
real,kp35_kd0.5,touchdown,landing_leg,ankle_pitch,1,6,8.253976125573294,4.682544148161772,30.763918227647576,6.458339492485834,7.142863954823042,3.492066822357932,0.09243496666666666,0.19652403333333335,2.0124554906556855,1.389216801050859,0.3734017061314419
real,kp35_kd0.5,touchdown,landing_leg,ankle_roll,1,6,32.619078727025226,8.095245815466114,8.750008344658227,6.458339492485834,31.507966556274976,6.984133644715864,0.4372981,0.18683655,6.287184194338788,1.7727863890735458,0.29341330025500345
real,kp35_kd0.5,touchdown,landing_leg,hip_pitch,1,6,40.79368969754493,2.3809546516076807,9.722231494064696,6.527784003157724,39.68257752679468,1.1904773258038404,1.1048628833333332,0.22243066666666667,19.907223492944265,1.6773321551841522,0.6104514123144323
real,kp35_kd0.5,touchdown,landing_leg,hip_roll,1,6,24.603198066612702,11.507947482770456,10.763899154143056,7.569451663236085,23.41272074080886,5.714291163858434,1.1022276666666666,0.10386483333333334,14.979308650461304,0.8260062242488577,0.8881986107875308
real,kp35_kd0.5,touchdown,landing_leg,knee_pitch,1,6,30.396854385524723,0.0,7.638896173907976,6.527784003157724,30.396854385524723,0.0,0.3569083,0.41002600000000006,5.390553894801055,2.8655886852192833,0.37863069382500397
real,kp35_kd0.5,touchdown,stance_leg,ankle_pitch,1,6,31.507966556274976,3.492066822357932,9.722231494064696,6.583339611695237,29.206377059720882,2.3015894965540915,0.33918855816666665,0.18061845,4.9855993157491305,1.4747279302196745,0.24482778739977762
real,kp35_kd0.5,touchdown,stance_leg,ankle_roll,1,6,30.238124075417545,4.682544148161772,10.833343664814947,6.583339611695237,30.238124075417545,4.682544148161772,0.2527156483333333,0.22265748333333332,4.276987982028193,2.0683400280783175,0.10971155233381756
real,kp35_kd0.5,touchdown,stance_leg,hip_pitch,1,6,35.87305008422239,3.492066822357932,7.638896173907976,6.527784003157724,34.76193791347214,2.3809546516076807,0.9880956333333333,0.18372883333333334,15.734911831378108,1.353561290856639,0.6098150369686597
real,kp35_kd0.5,touchdown,stance_leg,hip_roll,1,6,30.238124075417545,10.396835312020206,8.750008344658227,6.527784003157724,26.666692098006024,5.714291163858434,0.375154545,0.049535663333333334,6.643186605277715,0.44373405809840943,0.15312164472517217
real,kp35_kd0.5,touchdown,stance_leg,knee_pitch,1,6,28.015899733917042,4.603178993108183,6.527784003157724,6.527784003157724,28.015899733917042,2.3015894965540915,0.7437818333333334,0.4216925,9.113390834063917,3.0713750719486654,0.45353284875138217
real,kp40_kd0.8,swing,event_leg,ankle_pitch,1,6,34.34012341669162,14.118336107498555,4.546820901936105,3.031523431656398,32.77747290046566,11.51391858045531,0.3342740833333333,0.2301235,2.5312211847795605,1.2094050829995628,0.12679318497253642
