dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,phase,role,side,start_time_sec,end_time_sec,duration_sec,sample_count,start_event_side,end_event_side,joint,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_swing,swing_leg,right,1778046114.0419912,1778046114.382012,0.34002065658569336,35,left,right,hip_pitch,32.35097570381797,2.940997791256179,32.35097570381797,2.940997791256179,11.427877131738295,2.856969282934574,0.710431,0.20455800000000002,2.263948,0.27464500000000003,6.658266067518845,0.8077303383795534,0.22150146313228466
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_swing,swing_leg,right,1778046114.0419912,1778046114.382012,0.34002065658569336,35,left,right,hip_roll,38.23297128633033,8.822993373768538,38.23297128633033,5.881995582512358,2.856969282934574,2.856969282934574,1.7,0.10144910000000001,3.3844883999999995,0.15539250000000002,9.953772908932159,0.4570089992777759,0.6763128194547456
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_support,support_leg,right,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,ankle_pitch,25.00117873742469,15.62573671089043,21.876031395246603,15.62573671089043,3.0304459075666292,3.0304459075666292,0.76,0.13184,1.0152249999999998,0.26821799999999996,3.172727710462747,0.8382207698243218,0.46754229160369043
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_support,support_leg,right,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,ankle_roll,18.750884053068518,15.62573671089043,18.750884053068518,6.250294684356173,3.0304459075666292,3.0304459075666292,0.3523343,0.0917409,0.628186028,0.19775349,1.9631738957976088,0.6180087936799408,0.1625431600438292
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_support,support_leg,right,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,knee_pitch,18.750884053068518,3.1251473421780864,18.750884053068518,0.0,3.0304459075666292,3.0304459075666292,0.945638,0.43027,1.383425,0.46820699999999993,4.323406961852719,1.463215861639175,0.2953126965712477
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_support,support_leg,right,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,hip_pitch,31.25147342178086,3.1251473421780864,31.25147342178086,3.1251473421780864,3.0304459075666292,3.0304459075666292,1.0248956,0.268111,1.6390611999999998,0.48702,5.122307752847224,1.5220092585875715,0.3767680425420772
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,complete_support,support_leg,right,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,hip_roll,15.62573671089043,9.375442026534259,12.500589368712346,6.250294684356173,3.0304459075666292,3.0304459075666292,0.9151370000000001,0.09623090000000001,1.8069816000000003,0.1681294,5.647083744604707,0.5254291475519963,0.3918008595018936
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_swing,swing_leg,left,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,ankle_pitch,21.876031395246603,12.500589368712346,18.750884053068518,12.500589368712346,6.0608918151332585,3.0304459075666292,0.252584,0.19054600000000002,0.9613559999999999,0.333399,3.0043791482869557,1.0419209987348317,0.09411227844232685
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_swing,swing_leg,left,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,ankle_roll,25.00117873742469,12.500589368712346,21.876031395246603,9.375442026534259,3.0304459075666292,6.0608918151332585,0.5125847,0.09731719999999999,0.7599549999999999,0.164210382,2.3749713484249475,0.5131816388653482,0.20061458188021422
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_swing,swing_leg,left,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,knee_pitch,21.876031395246603,6.250294684356173,21.876031395246603,0.0,3.0304459075666292,3.0304459075666292,0.6559409999999999,0.48495599999999994,0.8437179999999997,0.5457939999999999,2.63674306524781,1.705686668476746,0.2965662327886036
