dataset,axis,case_label,joint_count,reliable_joint_count,median_f_modal_candidate_hz,mean_f_modal_candidate_hz,median_zeta_bandwidth,mean_zeta_bandwidth,std_zeta_bandwidth,median_f_n_equiv_hz,median_residual_target_power_ratio,median_output_target_gain_at_peak,source_rule
real,roll,20260428_164817,2,0,2.8445122678175445,2.8445122678175445,0.01930445033893313,0.01930445033893313,0.0029176230287685334,2.845048986695718,0.9197457454575748,0.3629634150697049,all_unreliable
real,roll,20260429_161248,2,0,2.8564480366211287,2.8564480366211287,0.012820512820512822,0.012820512820512822,0.006043647702449125,2.856708919470714,0.5976623351987289,0.507524054214503,all_unreliable
real,roll,25/0.4 all_ankles,2,0,2.8565842493025917,2.8565842493025917,0.029880187025131517,0.029880187025131517,0.005682477055122769,2.857886408205263,0.8789586139685723,0.07391285556468591,all_unreliable
real,roll,30/0.4 all_ankles,2,1,4.272668748956868,4.272668748956868,0.011428571428571463,0.011428571428571463,0.0,4.272947807722038,1.2174931906944768,0.17637238758990456,reliable_only
real,roll,35/0.5 all_ankles,2,1,2.856516141338038,2.856516141338038,0.017094017094017068,0.017094017094017068,0.0,2.8569335775731086,1.0013232611096197,0.0007121562797002174,reliable_only
real,roll,40/0.8 all_ankles,2,2,2.832304060659529,2.832304060659529,0.05172413793103444,0.05172413793103444,0.0,2.8361004338798144,1.031817406019386,0.06514852635406447,reliable_only
sim,pitch,25/0.4 all_ankles,2,1,2.832033950838042,2.832033950838042,0.02586206896551724,0.02586206896551724,0.0,2.8329815243559255,1.398871132599655,0.20031493033302572,reliable_only
sim,pitch,35/0.5 all_ankles,2,1,2.8810681926561754,2.8810681926561754,0.025423728813559355,0.025423728813559355,0.0,2.881999756521577,1.2965071789705418,0.18930279706549,reliable_only
sim,pitch,40/0.5 all_ankles,2,2,3.5889561775785612,3.5889561775785612,0.021234591679506906,0.021234591679506906,0.005924334549617683,3.5897341246647185,1.4323553948910765,0.24309142705341708,reliable_only
sim,pitch,50/0.8 all_ankles,2,2,3.5892984882445518,3.5892984882445518,0.021234591679506948,0.021234591679506948,0.005924334549617692,3.5900765095304408,1.3602172946579334,0.2092056849621214,reliable_only
sim,roll,25/0.4 all_ankles,2,1,2.832033950838042,2.832033950838042,0.02586206896551724,0.02586206896551724,0.0,2.8329815243559255,1.4743082366372915,0.42351160709122876,reliable_only
sim,roll,35/0.5 all_ankles,2,1,2.8810681926561754,2.8810681926561754,0.025423728813559355,0.025423728813559355,0.0,2.881999756521577,1.434749348646724,0.7896775386452488,reliable_only
sim,roll,40/0.5 all_ankles,2,1,2.8809308092127224,2.8809308092127224,0.02542372881355932,0.02542372881355932,0.0,2.8818623286565956,1.2531251834730897,0.8788960129391579,reliable_only
sim,roll,50/0.8 all_ankles,2,1,2.8812055892031094,2.8812055892031094,0.02542372881355937,0.02542372881355937,0.0,2.8821371974942758,1.062798699877091,0.9344551985761204,reliable_only
