kp_case,dataset,phase,role,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
kp25_kd0.4,sim,complete_support,support_leg,ankle_pitch,1,6,0.43999942143758136,18.96094835131698,8.907210835842362,16.078986402881572,8.444252950256418,2.6570735573125783,2.836285151313325,0.736454,0.17507616666666667,3.9119896791296953,0.8723339984782471,0.37278205794714436
kp25_kd0.4,sim,complete_support,support_leg,ankle_roll,1,6,0.43999942143758136,25.867097761710614,10.490074145858514,23.596785974562692,7.126720473961359,2.6570735573125783,3.162120781118603,0.4679051283333333,0.11263534666666668,1.9423368658876683,0.5596181840504557,0.27230719871645637
kp25_kd0.4,sim,complete_support,support_leg,hip_pitch,1,6,0.43999942143758136,29.98126773535267,4.205669039622106,29.460437785802707,2.723451091104346,2.6570735573125783,2.6570735573125783,0.7898754433333334,0.2319861666666667,4.565529815831446,0.9986991678385948,0.2659388110897671
kp25_kd0.4,sim,complete_support,support_leg,hip_roll,1,6,0.43999942143758136,24.220436625449086,6.943654581122743,20.498441104832207,6.021382776688738,2.6570735573125783,2.6570735573125783,1.197058,0.13793205333333333,5.6220402924621276,0.6400835472949072,0.4358860968849379
kp25_kd0.4,sim,complete_support,support_leg,knee_pitch,1,6,0.43999942143758136,13.135535132374208,4.744906118417928,13.135535132374208,1.2638752632336265,2.6570735573125783,2.6570735573125783,1.0859355166666667,0.4151498333333334,4.291117365859067,1.2560346181248614,0.2570059394903121
kp25_kd0.4,sim,complete_swing,swing_leg,ankle_pitch,1,4,0.334999680519104,24.05307523149441,8.506984361181003,22.916695733177452,7.15754968769758,3.6313279919370514,3.075764681648761,0.40646825,0.17889475,2.9513313175511966,0.9538195623781842,0.16913480019454208
kp25_kd0.4,sim,complete_swing,swing_leg,ankle_roll,1,4,0.334999680519104,22.806154744820184,9.793237306781748,20.549228067791375,5.666055319782656,3.075764681648761,5.102769477998033,0.443534525,0.05492514,2.393444865628218,0.3439085315656514,0.17396781797680166
kp25_kd0.4,sim,complete_swing,swing_leg,hip_pitch,1,4,0.334999680519104,23.52434417000439,3.1802411479822745,22.956154420845913,2.39899622365733,3.075764681648761,3.075764681648761,0.7183159,0.18373699999999998,5.23166565292487,0.8544877635856162,0.20005587546649556
kp25_kd0.4,sim,complete_swing,swing_leg,hip_roll,1,4,0.334999680519104,28.488012827616878,8.15184978718899,26.444141325754533,4.316620646299232,3.075764681648761,3.075764681648761,1.6626835,0.10749278274999999,9.824644480435548,0.5221505615787891,0.5769304673030952
kp25_kd0.4,sim,complete_swing,swing_leg,knee_pitch,1,4,0.334999680519104,20.935899434849897,6.486739227382011,20.935899434849897,5.792302399003094,3.075764681648761,3.075764681648761,0.7850532499999999,0.39413075000000003,3.568274085204468,1.5319591327361117,0.27603505040340154
kp30_kd0.4,real,complete_support,support_leg,ankle_pitch,1,6,0.3133411804835002,15.426890120511727,8.628123404889894,13.61579787703994,5.153280148159851,2.951758887792041,3.5076792347771737,0.31779983333333334,0.24757435166666666,3.2387917455084128,1.0981610018215886,0.3647648830291257
kp30_kd0.4,real,complete_support,support_leg,ankle_roll,1,6,0.3133411804835002,27.84615771288036,18.952440404531135,27.109323789748117,16.801220884504502,3.5076792347771737,4.361820972459771,0.6343806166666667,0.18389792833333332,5.056179773000959,1.2288797962406155,0.23853766033247684
