dataset,case_label,diag_csv,step_index,touchdown_side,window,role,joint,phase_bin,norm_phase,pos_target_rad,joint_pos_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,16,0.8,0.52192,-0.01991986000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,17,0.85,0.5589294,-0.03729654
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,18,0.9,0.5544621999999999,-0.041831179999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,19,0.95,0.5315968,-0.03642994000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,20,1.0,0.497667,-0.0316281
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,0,0.0,-0.300513,-0.364422
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,1,0.05,-0.20931439999999998,-0.3622748
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,2,0.1,-0.14870819999999998,-0.3597436
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,3,0.15,-0.07993108000000002,-0.3572892
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,4,0.2,-0.03393107999999999,-0.3554862
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,5,0.25,-0.00563335,-0.355026
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,6,0.3,0.11961339999999995,-0.355755
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,7,0.35,0.161233,-0.3568278
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,8,0.4,-0.013945000000000148,-0.35698219999999997
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,9,0.45,-0.37847520000000007,-0.3557924
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,10,0.5,-0.617835,-0.353108
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,11,0.55,-0.6949272400000014,-0.3564832
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,12,0.6,-1.519784,-0.3651888
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,13,0.65,-1.3987999999999998,-0.37331919999999996
