dataset,kp_case,window,role,step_index,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
sim,kp25_kd0.4,swing,event_leg,6,knee_pitch,1,1,22.580666695892198,9.6774285839538,3.125002980235081,3.125002980235081,22.580666695892198,9.6774285839538,0.787768,0.4936670000000001,4.171262042541605,1.7970113911829655,0.3155239634369611
sim,kp25_kd0.4,swing,opposite_leg,1,ankle_pitch,1,1,12.500011920940324,6.250005960470162,3.030305920227957,3.030305920227957,9.375008940705243,3.125002980235081,0.4820633,0.15882500000000002,3.100836082187732,0.5420223919128342,0.20401148488102258
sim,kp25_kd0.4,swing,opposite_leg,1,ankle_roll,1,1,21.875020861645567,6.250005960470162,3.030305920227957,3.030305920227957,18.750017881410486,3.125002980235081,0.2304738,0.0531647,1.2660612074100566,0.2274527169158143,0.08216258251582455
sim,kp25_kd0.4,swing,opposite_leg,1,hip_pitch,1,1,34.37503278258589,3.125002980235081,3.030305920227957,3.030305920227957,31.25002980235081,3.125002980235081,0.9569521000000001,0.18478100000000003,5.090855480018121,0.81434765162244,0.24439173614731494
sim,kp25_kd0.4,swing,opposite_leg,1,hip_roll,1,1,25.000023841880648,12.500011920940324,3.030305920227957,3.030305920227957,21.875020861645567,9.375008940705243,0.723951,0.12538186,5.7818967640464445,0.4586240311279594,0.3363826715452462
sim,kp25_kd0.4,swing,opposite_leg,1,knee_pitch,1,1,12.500011920940324,3.125002980235081,3.030305920227957,3.030305920227957,12.500011920940324,0.0,1.074023,0.419691,4.846385871873731,1.5092233143075124,0.35770132747371025
sim,kp25_kd0.4,swing,opposite_leg,2,ankle_pitch,1,1,15.151529601139787,6.060611840455914,2.9411792755153705,2.9411792755153705,15.151529601139787,0.0,0.5874729999999999,0.130429,3.7759217828178064,0.42627616410438685,0.18293032359850278
sim,kp25_kd0.4,swing,opposite_leg,2,ankle_roll,1,1,15.151529601139787,12.121223680911829,2.9411792755153705,2.9411792755153705,15.151529601139787,3.030305920227957,0.2227829,0.0323564,1.4876639338984,0.1780369273650026,0.09844039358551537
sim,kp25_kd0.4,swing,opposite_leg,2,hip_pitch,1,1,27.272753282051614,3.030305920227957,2.9411792755153705,2.9411792755153705,27.272753282051614,3.030305920227957,1.01017332,0.232396,5.74748620850271,0.9618978870342795,0.2850795727317732
sim,kp25_kd0.4,swing,opposite_leg,2,hip_roll,1,1,18.181835521367745,6.060611840455914,2.9411792755153705,2.9411792755153705,15.151529601139787,3.030305920227957,0.859998,0.10082922,6.129286451403674,0.34852684753261826,0.38273700659107296
sim,kp25_kd0.4,swing,opposite_leg,2,knee_pitch,1,1,27.272753282051614,3.030305920227957,2.9411792755153705,2.9411792755153705,24.242447361823658,0.0,1.0654489999999999,0.418871,4.720334804692371,1.4408377377263082,0.3436481842993431
sim,kp25_kd0.4,swing,opposite_leg,3,ankle_pitch,1,1,3.030305920227957,6.060611840455914,2.9411792755153705,2.9411792755153705,3.030305920227957,6.060611840455914,0.741304,0.218291,3.5670791594075357,0.8219462384144717,0.2902572008657433
sim,kp25_kd0.4,swing,opposite_leg,3,ankle_roll,1,1,27.272753282051614,18.181835521367745,5.882358551030741,2.9411792755153705,21.2121414415957,9.090917760683872,0.59046119,0.0651298,3.0486792407804253,0.4089783597291273,0.3982604671120941
sim,kp25_kd0.4,swing,opposite_leg,3,hip_pitch,1,1,48.484894723647315,12.121223680911829,2.9411792755153705,2.9411792755153705,48.484894723647315,6.060611840455914,0.697311,0.07528099999999999,3.8636006543136814,0.3389700202366992,0.18651159130955783
sim,kp25_kd0.4,swing,opposite_leg,3,hip_roll,1,1,21.2121414415957,12.121223680911829,5.882358551030741,2.9411792755153705,18.181835521367745,9.090917760683872,1.7,0.1430505,8.449153512286152,0.5021562364692631,0.708063742111494
sim,kp25_kd0.4,swing,opposite_leg,3,knee_pitch,1,1,24.242447361823658,6.060611840455914,2.9411792755153705,2.9411792755153705,24.242447361823658,3.030305920227957,0.6958120000000001,0.163775,2.5612933517305954,0.6028884537471126,0.16251940543706667
sim,kp25_kd0.4,swing,opposite_leg,4,ankle_pitch,1,1,18.750017881410486,9.375008940705243,3.030305920227957,3.030305920227957,12.500011920940324,9.375008940705243,0.76,0.14140700000000003,4.613682524950529,0.6751756438976706,0.28867736575901903
sim,kp25_kd0.4,swing,opposite_leg,4,ankle_roll,1,1,21.875020861645567,9.375008940705243,3.030305920227957,3.030305920227957,21.875020861645567,6.250005960470162,0.35832630000000004,0.035913,1.9465972314197837,0.19135136998688698,0.21539951228300477
sim,kp25_kd0.4,swing,opposite_leg,4,hip_pitch,1,1,28.12502682211573,3.125002980235081,3.030305920227957,3.030305920227957,28.12502682211573,3.125002980235081,1.0188198,0.200851,5.347196349483822,1.2282417963426555,0.34856149532162073
sim,kp25_kd0.4,swing,opposite_leg,4,hip_roll,1,1,21.875020861645567,9.375008940705243,3.030305920227957,3.030305920227957,18.750017881410486,6.250005960470162,0.909078,0.0939575,5.51698026140238,0.5854861833631355,0.44754688192169356
sim,kp25_kd0.4,swing,opposite_leg,4,knee_pitch,1,1,9.375008940705243,3.125002980235081,3.030305920227957,3.030305920227957,9.375008940705243,0.0,1.058605,0.385521,4.6487888084304885,1.359120046157881,0.31697984038564514
sim,kp25_kd0.4,swing,opposite_leg,5,ankle_pitch,1,1,24.242447361823658,12.121223680911829,2.9411792755153705,2.9411792755153705,21.2121414415957,9.090917760683872,0.716426,0.16932599999999998,4.354086576622962,1.16463141370937,0.4652616696183923
sim,kp25_kd0.4,swing,opposite_leg,5,ankle_roll,1,1,30.303059202279574,9.090917760683872,2.9411792755153705,2.9411792755153705,27.272753282051614,9.090917760683872,0.45953443,0.1183652,1.6684524396450884,0.6981142112281387,0.28017167114317454
sim,kp25_kd0.4,swing,opposite_leg,5,hip_pitch,1,1,24.242447361823658,3.030305920227957,2.9411792755153705,2.9411792755153705,24.242447361823658,3.030305920227957,0.7268125,0.23841400000000001,3.9972068423365346,1.034097955889631,0.23532350273708008
sim,kp25_kd0.4,swing,opposite_leg,5,hip_roll,1,1,30.303059202279574,3.030305920227957,2.9411792755153705,2.9411792755153705,27.272753282051614,3.030305920227957,0.9714149999999999,0.130081,5.40454576023709,0.7826995343192311,0.38019846110764083
sim,kp25_kd0.4,swing,opposite_leg,5,knee_pitch,1,1,15.151529601139787,3.030305920227957,2.9411792755153705,2.9411792755153705,15.151529601139787,0.0,1.0214379999999998,0.540299,4.49751338007209,1.6523258182049378,0.24949837710688744
sim,kp25_kd0.4,swing,opposite_leg,6,ankle_pitch,1,1,25.806476223876796,9.6774285839538,3.125002980235081,3.125002980235081,16.129047639922998,9.6774285839538,0.76,0.148719,3.3597219137579173,0.9594622053370434,0.5714807234893406
sim,kp25_kd0.4,swing,opposite_leg,6,ankle_roll,1,1,32.258095279845996,9.6774285839538,3.125002980235081,6.250005960470162,32.258095279845996,9.6774285839538,0.41498379999999996,0.07478467999999999,1.873555496439176,0.5603957763705427,0.2726067039257517
sim,kp25_kd0.4,swing,opposite_leg,6,hip_pitch,1,1,32.258095279845996,3.2258095279845995,3.125002980235081,3.125002980235081,29.032285751861398,3.2258095279845995,0.9678739000000001,0.280332,4.78014978451253,1.557591808015948,0.39705968878005443
sim,kp25_kd0.4,swing,opposite_leg,6,hip_roll,1,1,16.129047639922998,9.6774285839538,3.125002980235081,3.125002980235081,12.903238111938398,9.6774285839538,1.042066,0.13017610000000002,5.399192245845168,0.7820242619254856,0.4113555452052613
sim,kp25_kd0.4,swing,opposite_leg,6,knee_pitch,1,1,16.129047639922998,3.2258095279845995,3.125002980235081,3.125002980235081,16.129047639922998,0.0,0.9413109999999999,0.3725710000000001,4.24861050340362,1.3613593628095895,0.27428739630056603
sim,kp25_kd0.4,touchdown,landing_leg,1,ankle_pitch,1,1,0.0,13.333346049003012,25.000023841880648,6.250005960470162,0.0,0.0,0.0,0.013096999999999998,0.0,0.11574677705139508,0.3015090267289895
