dataset,phase,role,step_index,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,complete_support,support_leg,5,ankle_pitch,4,4,0.3074398636817932,9.070492452937069,8.944799780763201,7.850144920793598,4.0275241391714385,3.549418945254381,4.131066115577667,0.37609519999999996,0.1914825025,2.4505868140933247,0.8661894489660589,0.3823817745630868
real,complete_support,support_leg,5,ankle_roll,4,4,0.3074398636817932,21.530597813731767,13.62827128436868,21.530597813731767,11.349609332032264,3.549418945254381,3.549418945254381,0.722261725,0.20334030749999998,4.914423253614866,1.302790993242788,0.2527710080424248
real,complete_support,support_leg,5,hip_pitch,4,4,0.3074398636817932,43.440736781848734,2.9328692792018347,43.440736781848734,1.2497032393392606,3.549418945254381,3.549418945254381,1.33736575,0.30056900000000003,13.768730244718885,1.3618784328810758,0.4498082432003725
real,complete_support,support_leg,5,hip_roll,4,4,0.3074398636817932,22.190748353598025,11.02554310813121,17.30282841920205,4.852034421378095,3.549418945254381,3.549418945254381,1.5120375,0.11346835,11.296960798891197,0.518654978942675,0.7397850631190862
real,complete_support,support_leg,5,knee_pitch,4,4,0.3074398636817932,27.6225691847196,4.425101426676871,27.6225691847196,2.60925798205956,3.549418945254381,3.549418945254381,1.052289525,0.3024855,6.546261974352959,1.438883642343435,0.2859674160409371
real,complete_support,support_leg,6,ankle_pitch,4,4,0.31250470876693726,20.436373004785008,7.106185887612053,18.016010121030863,4.711481893300834,3.9090451026911017,2.2965247938662494,0.50882975,0.19206195,4.60886214786186,1.188596777967461,0.36483591373980373
real,complete_support,support_leg,6,ankle_roll,4,4,0.31250470876693726,34.2907530546114,9.52546488628541,34.2907530546114,8.719038553394292,3.1027849482786753,3.077750303854521,0.5492447475,0.2581735425,5.545858781044044,2.243625248459858,0.2618153191472796
real,complete_support,support_leg,6,hip_pitch,4,4,0.31250470876693726,47.85373541623434,2.3690787193902834,47.85373541623434,0.8064263328911192,3.1027849482786753,3.1027849482786753,1.447005195,0.349705025,16.746769585213336,1.4697268833927237,0.43366837805471187
real,complete_support,support_leg,6,hip_roll,4,4,0.31250470876693726,27.752812444558533,7.9638963848670326,23.845656343031223,4.73710716822177,3.8599253681285504,3.1027849482786753,1.6952425,0.22688899499999998,15.48824553350945,0.8584228489277747,0.7202392232542365
real,complete_support,support_leg,6,knee_pitch,4,4,0.31250470876693726,39.83645432588586,2.3690787193902834,38.27485220994549,1.5882776614201002,3.1027849482786753,3.1027849482786753,0.577395,0.3750651,4.824319587708366,1.7981715705586947,0.2042019779841188
real,complete_swing,swing_leg,2,ankle_pitch,4,4,0.17999398708343506,19.870123883410084,6.8346641171679465,15.894304959541131,2.660666861418494,6.474722604473699,5.338657119509476,0.3586218,0.336357175,4.8280971928300485,1.9763772614159516,0.1593209097572924
real,complete_swing,swing_leg,2,ankle_roll,4,4,0.17999398708343506,27.977112688724933,13.949667412972204,26.661960626274475,12.634515350521745,7.976859986641069,5.338657119509476,0.5102180000000001,0.188966625,6.096894125765744,1.6420902537640676,0.12263366447879066
real,complete_swing,swing_leg,2,hip_pitch,4,4,0.17999398708343506,28.86095759893742,5.644500275776855,28.86095759893742,4.329348213326398,5.338657119509476,5.338657119509476,0.72025268,0.14136775000000001,10.208745456664477,0.9664790607597823,0.30030444464268735
real,complete_swing,swing_leg,2,hip_roll,4,4,0.17999398708343506,35.936627422289426,8.30516713719535,33.07778222899043,6.8346641171679465,5.338657119509476,5.338657119509476,1.4463935,0.032310075,12.117290042802715,0.24501280339010792,0.480104070909351
real,complete_swing,swing_leg,2,knee_pitch,4,4,0.17999398708343506,34.427884779917854,0.0,34.427884779917854,0.0,5.338657119509476,5.338657119509476,0.436333275,0.7955749999999999,5.056434882143423,4.423810789397758,0.47305556760230394
real,complete_swing,swing_leg,3,ankle_pitch,4,4,0.31244415044784546,35.12142765460925,6.421823601863337,32.77285686631826,4.017533543139121,3.9446237980429304,3.1107432775652315,0.28029364999999995,0.3368446,2.6466242039579635,1.8949428505614694,0.1375302514840125
real,complete_swing,swing_leg,3,ankle_roll,4,4,0.31244415044784546,35.106734512340566,8.770100381611178,32.70244445361635,7.963772647946879,3.1107432775652315,3.1107432775652315,0.25491294999999997,0.43173,1.6344876569998132,3.3824571392117075,0.1869053157593068
real,complete_swing,swing_leg,3,hip_pitch,4,4,0.31244415044784546,45.80041308341534,3.2109118009316684,45.80041308341534,3.2109118009316684,3.1107432775652315,3.1107432775652315,0.9010355750000001,0.25325450000000005,8.382444986290093,1.2667770118250294,0.3158176972850897
real,complete_swing,swing_leg,3,hip_roll,4,4,0.31244415044784546,30.525260809439146,5.630189010467721,28.120676742171778,2.475290488512426,3.1107432775652315,3.1107432775652315,0.6888147499999999,0.067831525,5.813056586999315,0.24323267359751846,0.22144033239426517
real,complete_swing,swing_leg,3,knee_pitch,4,4,0.31244415044784546,28.842486937951794,4.017239534595968,28.842486937951794,3.2109118009316684,3.1107432775652315,3.1107432775652315,1.075291775,0.659861,6.0852806342855965,3.3840390565274743,0.44581179217925354
real,complete_swing,swing_leg,4,ankle_pitch,4,4,0.3850253224372864,24.839045482068254,8.543155046088387,21.671862796727407,7.253600755297104,2.5398104005698756,2.5398104005698756,0.43881597499999997,0.4470965,3.4620686309087136,1.9582922099497588,0.21051548072336762
