dataset,case_label,kp_case,diag_csv,side,joint,signal,band_low_hz,band_high_hz,sample_count,duration_sec,sample_rate_hz,alignment_lag_samples,alignment_lag_ms,alignment_corr,alignment_applied,welch_segment_sec,welch_segment_count,vibration_peak_hz,vibration_peak_power,vibration_band_power,target_peak_hz,target_peak_power,target_band_power,target_power_at_vibration_peak,residual_target_power_ratio,residual_target_power_ratio_db,closed_loop_dominant
sim,3505,kp35_kd0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1551,15.52578616142273,100.02714090309797,3,29.99185993835685,0.3418368710546283,True,2.0,14,5.699570904802013,3.3942968711600483,17.28367197808819,5.704833001951788,4.983023440951309,18.600312991787746,4.199705143324094,0.8082226621446668,-0.9246897633040037,False
sim,3505,kp35_kd0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1549,15.52578616142273,100.02714090309797,5,49.98643323059475,0.22884993407811863,True,2.0,14,5.718517655513583,12.02454793907322,50.47813615245733,5.7243868555209545,13.910268171911575,56.02214961937021,11.166173564929322,1.0768727415128023,0.32164383962568294,False
sim,3505,kp35_kd0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1551,15.52578616142273,100.02714090309797,2,19.994573292237902,0.2140380700937044,True,2.0,14,5.679765291913798,1.2425430300245142,14.467108520455072,8.557989603620422,1.308523929016587,15.57327466535657,1.123717171379462,1.1057435640136948,0.43654420235652314,False
sim,4005,kp40_kd0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1835,18.398056745529175,100.01056228110231,5,49.994719417198844,0.27084283607010556,True,2.0,17,5.699564424191484,16.220864271310727,46.39435780735435,5.7068406420797055,16.687593758700082,50.49475050356561,13.969168700033205,1.1611903771533785,0.6490342815300134,False
sim,4005,kp40_kd0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1837,18.398056745529175,100.01056228110231,3,29.996831650319308,0.3558176815364681,True,2.0,17,5.704568580371282,3.2794773923287805,18.21192581939497,5.710990781417613,5.300895805871772,19.314871703529768,4.37282364090601,0.7499679066977651,-1.2495732093134653,False
sim,4005,kp40_kd0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1835,18.398056745529175,100.01056228110231,5,49.994719417198844,0.312471701326361,True,2.0,17,5.698890455778904,11.158823662798742,52.57345055326568,5.71152776480133,13.975613673326588,62.3582239400452,11.573502911329987,0.964169944768814,-0.15846410526208687,False
sim,4005,kp40_kd0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1837,18.398056745529175,100.01056228110231,3,29.996831650319308,0.33216002054833965,True,2.0,17,7.130436116807874,1.1963493019147484,11.466695105455296,8.588450648329458,1.4187771318778861,12.44627079601849,0.8699736536902201,1.3751557841322217,1.3835189988020233,False
sim,5008,kp50_kd0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1863,18.675514221191406,100.0240195731987,5,49.98799309740741,0.269827543008001,True,2.0,17,5.694025014703751,19.07575870676208,55.321179628976594,5.7016951909784925,19.426439290759056,59.33545633505623,16.60541231997605,1.1487675427254669,0.6023215651664446,False
sim,5008,kp50_kd0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1860,18.675514221191406,100.0240195731987,8,79.98078895585185,0.4104999448532436,True,2.0,17,5.695967573156199,4.5598806190526116,19.874418199688595,5.708096336550314,6.199768030281656,20.591004984292624,5.115394567533874,0.8914034995448894,-0.4992566525763772,False
sim,5008,kp50_kd0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1863,18.675514221191406,100.0240195731987,5,49.98799309740741,0.38509034014765614,True,2.0,17,5.710881066320011,10.887075091964077,50.76701973392739,5.720554338084288,13.76925064726493,62.259443887361755,11.122835190818096,0.9788039564724793,-0.09304283833230848,False
sim,5008,kp50_kd0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1865,18.675514221191406,100.0240195731987,3,29.992795858444442,0.368103420222808,True,2.0,17,7.1226416388028335,1.1938631766443897,10.120636267391298,8.566718389222746,1.354962206921601,11.424977353504659,0.7390213427262411,1.6154650855417008,2.082975762066899,False
