kp_case,dataset,phase,role,side,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
kp25_kd0.4,sim,complete_support,support_leg,left,hip_pitch,1,4,0.47000014781951904,30.90936511903629,4.390879136791256,30.90936511903629,2.1675522140146164,2.6724761899715395,2.6724761899715395,0.68813974,0.21507475000000004,4.263758518815607,0.7934678364508092,0.21425062988117283
kp25_kd0.4,sim,complete_support,support_leg,left,hip_roll,1,4,0.47000014781951904,25.60615332664716,5.7989881020753655,21.372594719205264,4.983770144582836,2.6724761899715395,2.6724761899715395,1.1289065,0.13853533,5.319378898133392,0.625202801118907,0.42818745524543955
kp25_kd0.4,sim,complete_support,support_leg,left,knee_pitch,1,4,0.47000014781951904,13.382239681477124,5.1997347549849895,13.382239681477124,1.8958128948504398,2.6724761899715395,2.6724761899715395,1.123701775,0.42048225000000006,4.466085586436115,1.2578008662335656,0.2449047503861885
kp25_kd0.4,sim,complete_support,support_leg,right,ankle_pitch,1,2,0.37999796867370605,24.289824122701624,8.096608040900541,18.892085428767928,8.096608040900541,2.6262682919946556,2.6262682919946556,0.76,0.164366,3.4775641132517805,0.7721470563522483,0.39847109036673484
kp25_kd0.4,sim,complete_support,support_leg,right,ankle_roll,1,2,0.37999796867370605,27.272852267319568,10.369367037534458,27.272852267319568,6.960228542583583,2.6262682919946556,4.14140996341273,0.38665505,0.055632089999999995,1.9782868530919897,0.36871226690787384,0.2230563944719584
kp25_kd0.4,sim,complete_support,support_leg,right,hip_pitch,1,2,0.37999796867370605,28.12507296798543,3.8352488452838056,26.562583119335542,3.8352488452838056,2.6262682919946556,2.6262682919946556,0.99334685,0.26580899999999996,5.169072409863123,1.409161830614166,0.36931517350695564
kp25_kd0.4,sim,complete_support,support_leg,right,hip_roll,1,2,0.37999796867370605,21.44900322305294,9.2329875392175,18.750133876086096,8.096608040900541,2.6262682919946556,2.6262682919946556,1.333361,0.1367255,6.227363081119597,0.6698450396469074,0.4512833801639346
kp25_kd0.4,sim,complete_support,support_leg,right,knee_pitch,1,2,0.37999796867370605,12.642126034168374,3.8352488452838056,12.642126034168374,0.0,2.6262682919946556,2.6262682919946556,1.010403,0.40448500000000004,3.9411809247049714,1.2525021219074528,0.2812083176985592
kp25_kd0.4,sim,complete_swing,swing_leg,left,ankle_pitch,1,2,0.37999796867370605,26.13647276900261,8.806877188884568,23.863713772368694,6.108007841917722,3.737394912571237,2.6262682919946556,0.361694,0.17560949999999997,3.271019690167841,0.9066027977285758,0.11326362532376837
kp25_kd0.4,sim,complete_swing,swing_leg,left,ankle_roll,1,2,0.37999796867370605,20.738734075068916,10.369367037534458,17.613754377769137,7.670497690567611,2.6262682919946556,2.6262682919946556,0.48526905,0.06653175,1.9196937588638692,0.3162952255963625,0.21486584487617832
