dataset,window,role,step_index,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,touchdown,landing_leg,4,ankle_roll,4,4,44.3798070121677,16.109107517348086,18.14082787271929,9.068027205839066,44.3798070121677,16.109107517348086,0.44164214999999996,0.151072675,9.788876375613413,1.8901274865604774,0.24396702916431257
real,touchdown,landing_leg,4,hip_pitch,4,4,55.23166386017866,1.9231704610689375,6.68188751808352,6.68188751808352,55.23166386017866,1.9231704610689375,1.32594995,0.15963249999999995,26.071190749722874,1.1437219398567888,0.4629374505594651
real,touchdown,landing_leg,4,hip_roll,4,4,44.517261484530884,8.690802400732636,8.348555774208897,6.68188751808352,39.022446159224,6.905086412026876,1.3802682499999999,0.09381400000000001,23.62283525670824,0.7164672971617009,0.8700632570900007
real,touchdown,landing_leg,4,knee_pitch,4,4,47.951132546166015,1.9231704610689375,10.134456263815716,6.68188751808352,47.951132546166015,1.9231704610689375,0.35146,0.44764225,6.296453002572634,3.183346514840073,0.30079714232548804
real,touchdown,landing_leg,5,ankle_pitch,4,4,10.000645373901232,11.905621989594028,30.41880684195793,6.354495609273039,6.667229384849444,10.119799557475055,0.06209224999999999,0.24680315000000003,0.9677459075897132,1.7322093159218697,0.39380021272873106
real,touchdown,landing_leg,5,ankle_roll,4,4,25.477832735771706,11.78638832163894,6.354495609273039,6.354495609273039,23.81116447964633,8.45297233258715,0.37891305,0.17391674000000001,4.184868146231015,1.8461623734634705,0.3431872439747432
real,touchdown,landing_leg,5,hip_pitch,4,4,50.836352341947745,0.0,8.02126321258408,6.354495609273039,49.16968408582237,0.0,0.76246795,0.26720425,13.082355143206833,1.8137899975198017,0.5019396374641082
real,touchdown,landing_leg,5,hip_roll,4,4,17.024939879985595,10.11940215072919,11.04200007962566,7.91699709939058,13.691364929751506,5.000243206359466,1.074808425,0.03053625,12.48936495145885,0.3301267961789769,1.0004376145216511
real,touchdown,landing_leg,5,knee_pitch,4,4,30.597309602506037,0.0,7.9170716088915505,6.354495609273039,30.597309602506037,0.0,0.361342975,0.3981695,5.020623521604767,2.686869713715995,0.26055756583724565
real,touchdown,landing_leg,6,ankle_pitch,4,4,14.286536880601949,3.5716022848423123,16.667020346422763,6.66712340472684,14.286536880601949,3.5716022848423123,0.14157642499999998,0.27805674999999996,2.75324960704349,2.059891811757728,0.31024732664374044
real,touchdown,landing_leg,6,ankle_roll,4,4,37.50195176963954,12.500757027878608,13.33404148214541,8.88948020914156,37.50195176963954,12.500757027878608,0.5467865225,0.2475813425,10.386549418753665,2.7977137828938607,0.2850559442446643
real,touchdown,landing_leg,6,hip_pitch,4,4,55.36038899999064,1.7857159887057605,10.00050628310356,6.667010809670506,55.36038899999064,1.7857159887057605,0.9880115749999999,0.21365825000000002,23.110221775115413,1.6960388083590434,0.5025608868410343
real,touchdown,landing_leg,6,hip_roll,4,4,35.71649125020164,8.92913345333848,6.667010809670506,6.667010809670506,28.57328667239534,3.5716235745401272,1.49632455,0.15953647499999998,27.007341711274385,1.1659422495531253,0.9631464335323178
real,touchdown,landing_leg,6,knee_pitch,4,4,32.144931547800766,0.0,6.667010809670506,6.667010809670506,32.144931547800766,0.0,0.422369675,0.489106225,6.415470270029412,3.493805151097501,0.36285726515411176
real,touchdown,stance_leg,1,ankle_pitch,4,4,17.857904993995888,7.143225867504113,6.667010809670506,6.667010809670506,17.857904993995888,3.5716874466793813,0.18505074999999999,0.07443725,2.3897888778945533,0.9834615136618146,0.10914294349716272
real,touchdown,stance_leg,1,ankle_roll,4,4,25.001407620465677,8.929197333599408,6.667010809670506,6.667010809670506,23.215585188346708,7.143374901480437,0.063162205,0.1309384625,0.7859771010676588,1.2539284306478913,0.05488510077799732
real,touchdown,stance_leg,1,hip_pitch,4,4,14.2864517431299,7.143225867504113,6.667010809670506,6.667010809670506,14.2864517431299,5.357403435385142,0.8678400000000001,0.08590425,6.981000691628034,0.6968377723504032,0.3352232495503906
real,touchdown,stance_leg,1,hip_roll,4,4,33.930072717709876,3.5717726085164507,8.333758542596918,10.000605630289224,30.358534296885146,0.0,0.2014483675,0.023154000000000004,3.3979511469062285,0.17635313482816328,0.07871408530992126
real,touchdown,stance_leg,1,knee_pitch,4,4,21.42969888408848,7.143225867504113,8.333778412981546,6.667010809670506,21.42969888408848,5.357509878798353,0.37572075000000005,0.37420325,3.5593905786309588,3.4390552727474484,0.5637319859600267
real,touchdown,stance_leg,2,ankle_pitch,4,4,38.454078152893075,5.238355702804758,14.68814983383087,6.56284404366267,36.66819184863485,3.452554560383602,0.41446125,0.1487731,5.720691891139762,1.3646259288172198,0.19218438034680219
real,touchdown,stance_leg,2,ankle_roll,4,4,42.38327070999468,5.238355702804758,16.459243164332047,6.56284404366267,40.597469567573526,5.238355702804758,0.149792655,0.337783175,2.2256104406080053,3.156321833567179,0.10933119247518219
