dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,window,role,touchdown_side,side,joint,sample_count,duration_sec,target_dominant_freq_hz,target_direction_change_rate_hz,target_dir_chg_half_hz,joint_dominant_freq_hz,target_range_rad,joint_range_rad,amplitude_gain,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad,frequency_source,f_modal_candidate_hz,f_residual_peak_hz,full_log_target_peak_hz,freq_gap_hz,freq_ratio,residual_target_power_ratio,residual_target_power_ratio_db,closed_loop_dominant_full_log,alignment_lag_ms_full_log,alignment_corr_full_log,freq_close,amplitude_gain_gt_1,residual_target_ratio_ge_3,resonance_candidate
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,touchdown,landing_leg,left,left,ankle_pitch,15,0.14000582695007324,6.66699093170565,21.429613709053875,10.714806854526937,6.66699093170565,0.07503699999999996,0.2327519,3.1018284313072235,1.089995871697315,3.21293912611662,0.49645671839590105,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,0.3602323816911035,0.948737592982942,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,true,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,touchdown,landing_leg,left,left,ankle_roll,15,0.14000582695007324,6.66699093170565,35.71602284842312,17.85801142421156,6.66699093170565,0.464002,0.374054,0.8061473872957443,6.224081294498735,3.5479882791758497,0.6159913305950901,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,1.2151925317895929,1.2228975546506458,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,touchdown,stance_leg,left,right,ankle_pitch,15,0.14000582695007324,6.66699093170565,28.5728182787385,14.28640913936925,6.66699093170565,0.7419709999999999,0.116448,0.15694413932620008,6.159485295575074,1.0849099100437005,0.22687154878938437,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,1.1804897979343112,1.2151625907207022,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,touchdown,stance_leg,left,right,ankle_roll,15,0.14000582695007324,20.00097279511695,42.85922741810775,21.429613709053875,6.66699093170565,0.19681477,0.15988170000000002,0.8123460449640035,3.6309997452083365,1.4719223047451016,0.08229041225614321,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,15.000658382283413,3.999943032338833,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,swing,event_leg,right,right,ankle_pitch,33,0.32010650634765625,3.030450423502568,18.75091199542214,9.37545599771107,3.030450423502568,0.14399799999999996,0.3452978,2.397934693537411,1.1515497583748597,1.9105923012231465,0.11863087750829922,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,2.4560507102687703,0.5523466321457737,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,swing,event_leg,right,right,ankle_roll,33,0.32010650634765625,9.091351270507705,46.87727998855535,23.438639994277676,3.030450423502568,0.2951728,0.1219535,0.41315968137985615,2.371955990748909,0.8818863301494957,0.06132075795755817,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,4.091036857674167,1.8181559237903786,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,swing,opposite_leg,right,left,ankle_pitch,33,0.32010650634765625,3.030450423502568,12.500607996948094,6.250303998474047,3.030450423502568,0.25523999999999997,0.312523,1.2244279893433632,1.4729403899763953,1.2693414249541017,0.36171924593468585,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,3.996772889894185,0.4312443604467918,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,swing,opposite_leg,right,left,ankle_roll,33,0.32010650634765625,3.030450423502568,9.37545599771107,4.687727998855535,3.030450423502568,0.6660648,0.44566,0.6690940581156668,2.5878249275506073,2.8633830174769317,0.37875515296605555,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,2.4213479764134886,0.5558625248412027,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,touchdown,landing_leg,right,right,ankle_pitch,14,0.12990045547485352,28.5728182787385,0.0,0.0,7.143204569684625,0.0,0.29163700000000004,,0.0,2.2734213425115506,0.4769853500393189,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,23.08631714496716,5.207839674517295,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,touchdown,landing_leg,right,right,ankle_roll,14,0.12990045547485352,7.143204569684625,38.46340922137875,19.231704610689373,14.28640913936925,0.42764749999999996,0.048799800000000004,0.11411220689937392,9.513743492884693,0.6882236887886682,0.21975693987722975,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,2.142890156851087,1.4285510829781545,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,touchdown,stance_leg,right,left,ankle_pitch,14,0.12990045547485352,7.143204569684625,38.46340922137875,19.231704610689373,7.143204569684625,0.10469600000000001,0.20051349999999998,1.9151973332314507,1.7648704540774316,1.6529719347024117,0.1645298195753606,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,0.11598125628787148,1.016504563910295,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,true,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,touchdown,stance_leg,right,left,ankle_roll,14,0.12990045547485352,7.143204569684625,30.770727377103,15.3853636885515,7.143204569684625,0.10939289999999999,0.38331899999999997,3.5040573931214913,2.3257051162270805,3.3807490461949294,0.17686965289910517,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,1.6914061697685678,1.310247379982835,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,swing,event_leg,left,left,ankle_pitch,32,0.3100302219390869,3.1251519992370236,41.93752360266457,20.968761801332285,3.1251519992370236,0.25523999999999997,0.39065750000000005,1.5305496787337411,1.8499093296004905,1.5135620028024008,0.12539534125604881,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,3.9020713141597296,0.44472074671075407,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,swing,event_leg,left,left,ankle_roll,32,0.3100302219390869,3.1251519992370236,29.03367018646009,14.516835093230045,3.1251519992370236,0.10939289999999999,0.453157,4.142471769191602,1.6516506222982665,3.2171274404243753,0.16516994886915506,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,2.3266464006790333,0.5732332287424903,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,swing,opposite_leg,left,right,ankle_pitch,32,0.3100302219390869,25.00121599389619,0.0,0.0,3.1251519992370236,0.0,0.539007,,0.0,1.8000114188253704,0.49743449200792517,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,19.51471486012485,4.556859715202633,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,swing,opposite_leg,left,right,ankle_roll,32,0.3100302219390869,6.250303998474047,41.93752360266457,20.968761801332285,3.1251519992370236,0.5402462,0.0601578,0.11135256481211714,7.118322990845973,0.5684306405312161,0.22244321678738857,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,1.2499895856405097,1.2499821976058854,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,touchdown,landing_leg,left,left,ankle_pitch,16,0.14991426467895508,18.75091199542214,13.3339818634113,6.66699093170565,6.250303998474047,0.120836,0.4805733,3.977070574994207,2.0007973135595236,3.2039778331198585,0.31480498675474616,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,11.723688682025386,2.6683244802645243,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,touchdown,landing_leg,left,left,ankle_roll,16,0.14991426467895508,6.250303998474047,33.33495465852825,16.667477329264123,6.250303998474047,0.662844,0.2028917,0.3060926854584186,5.902655089738442,2.273053222043029,0.39205802911186793,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,0.7985055985579903,1.1464664574849806,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,true,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,touchdown,stance_leg,left,right,ankle_pitch,16,0.14991426467895508,6.250303998474047,20.00097279511695,10.000486397558475,6.250303998474047,0.32997639999999995,0.27297499999999997,0.8272561310445232,5.564402638021982,1.81992184958235,0.42898160682416653,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,0.7638028647027086,1.1392149288006583,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,true,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,touchdown,stance_leg,left,right,ankle_roll,16,0.14991426467895508,6.250303998474047,33.33495465852825,16.667477329264123,6.250303998474047,0.41580399999999995,0.0773166,0.18594482015565028,6.73481343041498,0.5276123283533216,0.10748337088394307,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,1.2499895856405097,1.2499821976058854,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,swing,event_leg,right,right,ankle_pitch,34,0.3297915458679199,2.9413195286936693,24.243603388020546,12.121801694010273,2.9413195286936693,0.17841899999999997,0.5603758,3.140785454463931,1.114487539098575,2.7104100090872243,0.187130281133374,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,2.545181605077669,0.5361011429650158,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,true,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,swing,event_leg,right,right,ankle_roll,34,0.3297915458679199,2.9413195286936693,30.304504235025682,15.152252117512841,2.9413195286936693,0.5772655,0.2261495,0.3917599440811897,3.007507125782264,1.3933649211484245,0.11578272200056305,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,2.058994884139868,0.5882269165204166,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,swing,opposite_leg,right,left,ankle_pitch,34,0.3297915458679199,2.9413195286936693,6.060900847005136,3.030450423502568,5.882639057387339,0.19632999999999998,0.11705190000000001,0.5961997657006063,0.7620916116015788,0.6469990441025019,0.447089721148353,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,4.085903784703084,0.4185607027865921,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,swing,opposite_leg,right,left,ankle_roll,34,0.3297915458679199,2.9413195286936693,21.213152964517977,10.606576482258989,2.9413195286936693,0.773813,0.1010056,0.13052972746645508,4.288469792099579,0.5466117372834711,0.2748135560235531,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,2.5104788712223876,0.5395136270517555,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,false,false,false
