dataset,window,role,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,touchdown,landing_leg,ankle_roll,4,24,35.890229589744045,14.431519148595308,9.621038437856905,7.524785281967249,35.01717030594325,12.983020858597078,0.44570778291666685,0.21932314291666666,7.094743565637406,2.195377856079817,0.31132793063016895
real,touchdown,landing_leg,hip_pitch,4,24,47.6201041166698,2.1063224582329636,8.787641390028405,6.6000432666717925,47.342326073982235,1.2134183373858043,0.8994480716666667,0.19314079166666667,16.60859933810109,1.4087203422424273,0.41627249998641425
real,touchdown,landing_leg,hip_roll,4,24,33.37335198920952,10.536232193122709,8.770250457099278,6.860460181691383,29.22322705647892,5.218507788842639,1.2538921874999998,0.06805542666666665,19.167493189345134,0.560229403203033,0.8890780659931409
real,touchdown,landing_leg,knee_pitch,4,24,36.48552478528248,1.5110802470480744,9.380452994164182,6.6000432666717925,36.48552478528248,0.9158096512913865,0.32033999166666666,0.4020927041666667,5.130123207433293,2.852472620250495,0.25587834737243786
real,touchdown,stance_leg,ankle_pitch,4,24,32.65588308238815,5.935955411290391,9.898816480031202,6.615262279984907,31.78283799087326,4.150147170949683,0.318548422875,0.16386149916666662,4.928409501331942,1.4026187455189145,0.22571862008404045
real,touchdown,stance_leg,ankle_roll,4,24,37.375327757500486,8.555172055696632,11.009981636578845,6.905134906647697,36.1847865659871,8.257534983676804,0.21181514916666666,0.22246869791666665,3.456945445048882,2.0015710346243227,0.11172818135357648
real,touchdown,stance_leg,hip_pitch,4,24,38.23465744834137,5.575745133320988,9.973289440130165,6.877837867223633,37.95687940565381,3.5319833446396416,0.9599829291666668,0.12514925,15.796919891057664,0.9581390377094917,0.40716981060197216
real,touchdown,stance_leg,hip_roll,4,24,35.10257547150129,8.713785747555296,9.397811639248099,7.155642403441579,31.272996688164096,5.22155949412551,0.3924334233333333,0.045676571125,7.502393083024784,0.3832348921826822,0.1481141000996999
real,touchdown,stance_leg,knee_pitch,4,24,28.5851218816078,3.8295425906026495,7.155642403441579,6.6000432666717925,28.28748480958797,2.3612375486876096,0.7277143333333332,0.37850012499999997,8.593884782811113,2.8595209006329445,0.44624784942044715
sim,swing,event_leg,ankle_pitch,4,24,17.586708369601258,8.716169509599297,3.7897215009486445,3.0279159069358883,15.88916798043884,7.547677650925003,0.3638232833333333,0.22405513291666665,2.463971496608164,1.208984248446789,0.17205968740348354
sim,swing,event_leg,ankle_roll,4,24,26.921637048348487,15.583414021110798,3.0279159069358883,3.529288968522779,23.937276383712987,8.589950618722648,0.43973245375,0.08262464472500002,2.388224751506774,0.42688904489515767,0.15953000536025502
sim,swing,event_leg,hip_pitch,4,24,22.4689925821136,4.808419927943254,3.7894775177336286,3.0279159069358883,22.0699410248852,2.3330337267300485,0.6432089083333332,0.19222395833333336,5.05481567360209,0.7970239940535885,0.1795189613428796
sim,swing,event_leg,hip_roll,4,24,26.87676865687422,8.989204132149633,3.518112452855117,3.150465043415695,23.636406146158873,5.601805649531914,1.5892629999999996,0.08593496333333334,9.220140975834367,0.465723414808243,0.5933436188976122
sim,swing,event_leg,knee_pitch,4,24,20.119009120386583,8.20268366407086,3.0279159069358883,3.0279159069358883,19.858573576955358,6.904228314170791,0.6845869958333335,0.4112672500000001,3.2173788551338753,1.4869697446327654,0.27134613145200753
sim,swing,opposite_leg,ankle_pitch,4,24,15.881320540353366,10.421348333772011,3.0279159069358883,3.1541816640251636,12.21746191692047,8.609919340656067,0.6951970749999999,0.14947925000000004,3.9794794857630333,0.9399098927039747,0.35556918994677317
sim,swing,opposite_leg,ankle_roll,4,24,22.358561536080416,12.372138829313597,3.150465043415695,3.1581243644456833,20.160698430241123,8.085353923396381,0.37802607833333335,0.14006754908333333,1.7532032676317613,0.7044864633957891,0.15384088706826932
sim,swing,opposite_leg,hip_pitch,4,24,32.74387788533783,3.501286528685043,3.0279159069358883,3.0279159069358883,32.09254735388676,2.4590468493439093,0.8229533262500001,0.22915087499999998,4.506250503043583,1.0914632363088488,0.2728910984218407
sim,swing,opposite_leg,hip_roll,4,24,21.035390908886146,6.367548807266782,3.150465043415695,3.0279159069358883,17.778467865202078,4.164945577480861,0.8988259166666667,0.11620908666666667,5.536348520503938,0.5932882260310407,0.38421374800660546
sim,swing,opposite_leg,knee_pitch,4,24,14.55882708418296,3.248761035332714,3.0279159069358883,3.0279159069358883,14.045863036986296,0.3908990637019989,1.017217125,0.43236441666666664,4.549657196800145,1.4466785805539388,0.2885982898873792
sim,touchdown,landing_leg,ankle_pitch,4,24,14.042262480172672,1.1507947482770458,10.5263924590715,6.664555965692728,13.744607665468877,0.5952386629019202,0.20889669833333332,0.06849999999999999,1.8534842692026519,0.513689014584302,0.31305424565701817
sim,touchdown,landing_leg,ankle_roll,4,24,26.396172036913644,6.886821272457873,6.925003928558545,6.924972880712318,24.904934987114785,3.328951362303327,0.12684954583333333,0.08498733208333333,1.2786897975368967,0.6639220700917229,0.25728277240153413
sim,touchdown,landing_leg,hip_pitch,4,24,33.46492154692352,0.873016705589483,6.94233400838029,6.94233400838029,32.866559047621536,0.2976193314509601,0.23478545791666672,0.11110187500000002,2.8726504201112775,0.7986488953017067,0.21026390279195117
sim,touchdown,landing_leg,hip_roll,4,24,33.59611332032859,0.5952386629019202,7.220118673976696,6.664555965692728,33.2755772676037,0.5952386629019202,0.3193544583333333,0.09246011125000002,4.326031028664136,0.6678242242808295,0.6270930390837313
sim,touchdown,landing_leg,knee_pitch,4,24,22.305674479946997,4.09360945481546,9.54172876229052,6.94233400838029,21.389828797814516,0.6181706703627358,0.1237723333333333,0.050301125,1.1134257819006248,0.4034483802734203,0.16852105705329853
sim,touchdown,stance_leg,ankle_pitch,4,24,10.722388538360628,6.222750012050182,6.664555965692728,6.94233400838029,9.82641962824438,4.175939517071643,0.11788845833333335,0.057667875,0.9352274689485128,0.4735760990386322,0.03588473860015134
sim,touchdown,stance_leg,ankle_roll,4,24,23.10867228148507,8.00865695037092,6.664555965692728,6.94233400838029,19.2929381512163,2.638980819989975,0.029452855833333333,0.02282026716666667,0.3073450645604574,0.21657750878738932,0.0102305857825287
sim,touchdown,stance_leg,hip_pitch,4,24,15.388415318650635,4.159299178689025,7.517759294364097,6.664555965692728,15.110637275963072,1.4515174240838267,0.2633355,0.1411801666666667,2.3693055558475438,1.070502846782757,0.2143106686073071
sim,touchdown,stance_leg,hip_roll,4,24,21.194615381637778,2.6848306419489254,8.316378738498386,6.664555965692728,20.020841789314677,0.873056919265886,0.16336339791666665,0.059478467083333326,1.8694891427570077,0.43730084378757444,0.10316252804325898
sim,touchdown,stance_leg,knee_pitch,4,24,2.0039701651031314,6.844107911542224,6.664555965692728,6.664555965692728,2.0039701651031314,4.711834238192698,0.4928009999999999,0.13390170833333334,3.64227856947065,1.1534067727436506,0.18875865022630822
