dataset,case_label,step_index,window,side,axis,hist_type,bin_label,count,bar,mean_joint_amplitude_rad,mean_amplitude_gain,mean_tracking_err_rms_rad
real,25/0.4 all_ankles,2,swing,left,pitch,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,amplitude,"[0.040,0.080)",1,########,0.028100999999999987,0.37449474993036763,0.23600478905489186
real,25/0.4 all_ankles,2,swing,left,pitch,amplitude,"[0.080,1.000)",3,########################,0.0626404,0.3024556077593606,0.2058843708452475
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[5.00,8.00)",1,############,0.0605632,0.3591654706977737,0.3487692905673119
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[12.00,20.00)",2,########################,0.05942045000000001,0.7640188438892161,0.4629118791737711
real,25/0.4 all_ankles,2,swing,left,roll,frequency,"[20.00,1000.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,roll,amplitude,"[0.040,0.080)",1,############,0.055101300000000006,0.8517482841773331,0.4628316241331776
real,25/0.4 all_ankles,2,swing,left,roll,amplitude,"[0.080,1.000)",2,########################,0.0621514,0.5177274371494365,0.4058807123908382
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[2.50,5.00)",1,########,0.057759000000000005,1.3085410058903502,0.07712049517004363
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[5.00,8.00)",1,########,0.236526,2.7773002677187546,0.1151108755890984
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[8.00,12.00)",1,########,0.034356,0.22519812007157888,0.11589228245875563
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[12.00,20.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,pitch,frequency,"[20.00,1000.00)",3,########################,0.030872766666666666,0.41329755043924643,0.20025768374440425
real,25/0.4 all_ankles,2,swing,right,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,pitch,amplitude,"[0.010,0.020)",1,######,0.00875300000000001,0.6114565141460017,0.17006469226444387
real,25/0.4 all_ankles,2,swing,right,pitch,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,pitch,amplitude,"[0.040,0.080)",1,######,0.057759000000000005,1.3085410058903502,0.07712049517004363
real,25/0.4 all_ankles,2,swing,right,pitch,amplitude,"[0.080,1.000)",4,########################,0.08868682499999998,0.9077336312405178,0.16542787925415575
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[8.00,12.00)",2,##########,0.04259305,1.76453792491339,0.03897422988853698
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[12.00,20.00)",2,##########,0.083317285,1.0011158966244929,0.044567822394007695
real,25/0.4 all_ankles,2,swing,right,roll,frequency,"[20.00,1000.00)",5,########################,0.023668086,0.4375579879978962,0.09711498509656302
real,25/0.4 all_ankles,2,swing,right,roll,amplitude,"[0.000,0.005)",1,######,0.0010087999999999972,nan,0.04924061619371418
real,25/0.4 all_ankles,2,swing,right,roll,amplitude,"[0.005,0.010)",0,,nan,nan,nan
