dataset,case_label,diag_csv,step_index,touchdown_side,touchdown_time_sec,first_contact_time_sec,fc_to_stable_ms,touchdown_source,base_euler_x_rad,base_euler_y_rad,base_euler_z_rad,touchdown_leg_hip_pitch_rad,touchdown_leg_hip_roll_rad,touchdown_leg_hip_yaw_rad,touchdown_leg_knee_pitch_rad,touchdown_leg_ankle_pitch_rad,touchdown_leg_ankle_roll_rad,support_leg_hip_pitch_rad,support_leg_hip_roll_rad,support_leg_hip_yaw_rad,support_leg_knee_pitch_rad,support_leg_ankle_pitch_rad,support_leg_ankle_roll_rad,touchdown_leg_sole_roll_rad,touchdown_leg_sole_pitch_rad,support_leg_sole_roll_rad,support_leg_sole_pitch_rad,fc_touchdown_leg_sole_roll_rad,fc_touchdown_leg_sole_pitch_rad,fc_touchdown_leg_ankle_roll_rad
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,4,right,1777515245.4390283,1777515245.4290211,10.0,kinematic_fk_hip,-0.0246498,-0.0748161,0.0271076,-0.441505,-0.0269408,0.347548,0.503633,-0.20944,0.0344853,0.678701,-0.0601139,-0.411784,0.563459,-0.0446012,-0.119122,0.11953628518878912,-0.01999062148373673,-0.013243190062347754,0.061730224882484405,0.13392268769958515,-0.1185805674691673,-0.074619
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,5,left,1777515245.7589765,1777515245.7589765,0.0,kinematic_fk_hip,-0.0133786,-0.00427805,0.10803,0.467967,-0.00527287,-0.243619,0.481006,-0.273307,0.0695947,-0.491169,0.0179291,0.622901,0.324921,-0.0245918,-0.165482,-0.1355084967396729,-0.05044359127857059,0.027718595318616313,-0.33314325939980427,-0.1355084967396729,-0.05044359127857059,0.0695947
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,6,right,1777515246.1590714,1777515246.1590714,0.0,kinematic_fk_hip,-0.0551717,0.00837232,0.254024,-0.488293,-0.0543613,0.278518,0.435561,-0.264918,0.412005,0.51322,0.0789051,-0.312841,0.518206,-0.160744,0.117062,0.21912048210300106,0.36980369475602987,-0.026844798236827172,-0.003275620702553661,0.21912048210300106,0.36980369475602987,0.412005
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,1,left,1778045946.048306,1778045946.048306,0.0,kinematic_fk_hip,-0.0319855,-0.0179476,0.0527358,0.450776,0.00151355,-0.393967,0.433456,-0.104696,0.0100917,-0.569334,-0.0795166,0.355948,0.828042,-0.294199,0.0127056,-0.18550695720684462,0.03848914391795465,-0.09461469137197609,-0.005869425286837174,-0.18550695720684462,0.03848914391795465,0.0100917
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,2,left,1778045946.7483065,1778045946.7483065,0.0,kinematic_fk_hip,-0.0288345,0.0131032,0.0378475,0.415642,0.00650926,-0.346167,0.461945,-0.185041,0.00596426,-0.592249,-0.0810024,0.354859,0.843077,-0.310396,0.003604,-0.18527507953325628,0.06104499964445986,-0.10741714941908853,-0.010637990403290578,-0.18527507953325628,0.06104499964445986,0.00596426
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,3,right,1778045946.9683053,1778045946.9683053,0.0,kinematic_fk_hip,-0.0229598,0.0175124,0.065434,-0.514969,-0.0929762,0.32534,0.551669,-0.184407,-0.0108847,0.444085,-0.0799974,-0.361343,0.631754,-0.321167,-0.0698636,0.0016862753397328678,0.0012726026227819175,-0.13735574129152073,0.04790655785425139,0.0016862753397328678,0.0012726026227819175,-0.0108847
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,4,left,1778045947.4082992,1778045947.4082992,0.0,kinematic_fk_hip,-0.0163284,0.0317734,0.0617515,0.398413,-0.00666626,-0.305048,0.51363,-0.26958,-0.0282548,-0.536306,-0.0424114,0.333156,0.90496,-0.349109,0.00466986,-0.18417972286740403,0.08247217061515569,-0.2022647916227096,-0.024448442675972046,-0.18417972286740403,0.08247217061515569,-0.0282548
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,5,right,1778045947.7683032,1778045947.7683032,0.0,kinematic_fk_hip,0.0337158,0.0403079,0.0640904,-0.472687,0.000128531,0.297193,0.568822,-0.281523,0.00514466,0.550943,0.00180915,-0.35578,1.04628,-0.312729,0.0046929,-0.0010875435566206626,-0.0017884046386042844,0.2047147798216724,-0.009378335671934121,-0.0010875435566206626,-0.0017884046386042844,0.00514466
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,6,left,1778045948.0883052,1778045948.0883052,0.0,kinematic_fk_hip,-0.0126147,0.0234083,0.0908003,0.430065,-0.0143875,-0.298937,0.544584,-0.271666,-0.0384488,-0.486205,-0.0122244,0.335808,0.935404,-0.364501,0.0109844,-0.18377096732063847,0.08279664502107745,-0.2545599130125782,-0.042324820026683065,-0.18377096732063847,0.08279664502107745,-0.0384488
sim,3505,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,1,left,1778045425.262834,1778045425.262834,0.0,kinematic_fk_hip,-0.036149,-0.00910546,0.0429272,0.422558,-0.00308159,-0.380948,0.449668,-0.150249,0.14725,-0.588587,-0.0814069,0.351816,0.842796,-0.301825,0.00832991,-0.20009327805610932,-0.08807722076425838,-0.0952744890968027,-0.011273041936416803,-0.20009327805610932,-0.08807722076425838,0.14725
