dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,window,role,side,joint,sample_count,duration_sec,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,landing_leg,left,knee_pitch,15,0.1397855281829834,35.71431977411521,0.0,13.333346049003012,6.666673024501506,35.71431977411521,0.0,0.17025600000000002,0.49279900000000004,0.6348550000000001,0.49279900000000004,4.5346828960391825,3.5199962140728407,0.39841963584500534
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,landing_leg,left,hip_pitch,15,0.1397855281829834,50.000047683761295,0.0,6.666673024501506,6.666673024501506,50.000047683761295,0.0,0.9287998,0.297214,2.4551372,0.297214,17.53671101002517,2.1229591674687756,0.4492980164356311
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,landing_leg,left,hip_roll,15,0.1397855281829834,35.71431977411521,7.142863954823042,6.666673024501506,6.666673024501506,35.71431977411521,0.0,1.5016070000000001,0.0811105,2.735813,0.1075726,19.54154006483629,0.7683764470665972,0.8433323617987715
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,stance_leg,right,ankle_pitch,15,0.1397855281829834,28.57145581929217,0.0,6.666673024501506,6.666673024501506,21.428591864469126,0.0,0.24437299999999998,0.44322700000000004,0.7127260000000001,0.44323,5.090904855065208,3.165931590696217,0.44611058219711996
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,stance_leg,right,ankle_roll,15,0.1397855281829834,35.71431977411521,0.0,6.666673024501506,6.666673024501506,35.71431977411521,0.0,0.5044051,0.3338954,1.3520222,0.33389539999999995,9.65731063850055,2.3849694173412215,0.19315605079466283
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,stance_leg,right,knee_pitch,15,0.1397855281829834,14.285727909646084,0.0,6.666673024501506,6.666673024501506,14.285727909646084,0.0,1.04653,0.22933400000000004,1.189338,0.22933400000000004,8.495279530301328,1.6381015622153878,0.5497436679027781
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,stance_leg,right,hip_pitch,15,0.1397855281829834,42.85718372893825,0.0,6.666673024501506,6.666673024501506,42.85718372893825,0.0,0.7968868,0.09299899999999994,2.2018115999999996,0.09299899999999994,15.727240712951248,0.6642792049345877,0.252152706546151
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,touchdown,stance_leg,right,hip_roll,15,0.1397855281829834,14.285727909646084,7.142863954823042,6.666673024501506,6.666673024501506,7.142863954823042,7.142863954823042,0.384404,0.0239687,0.6534848,0.047170699999999996,4.667753022944744,0.3369338927537712,0.14358922726921403
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,event_leg,right,ankle_pitch,34,0.32985758781433105,33.33336512250753,3.030305920227957,2.9411792755153705,2.9411792755153705,33.33336512250753,3.030305920227957,0.23313399999999998,0.5793233,0.67516,1.1003463,2.0459413451011077,3.334385907190928,0.29576524318844094
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,event_leg,right,ankle_roll,34,0.32985758781433105,45.45458880341936,3.030305920227957,2.9411792755153705,2.9411792755153705,45.45458880341936,3.030305920227957,0.5011181,0.375111,0.8493972999999996,0.6987827,2.573933666815641,2.1175253527628763,0.1571592125758432
