dataset,case_label,ankle_kp,ankle_kd,diag_csv,step_index,stance_side,window,side,role,axis,stance_start_sec,stance_end_sec,duration_sec,sample_count,lag_ms,corr,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_dominant_freq_hz,joint_direction_change_rate_hz,joint_extrema_rate_hz,tracking_err_rms_rad
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,5,left,stance,right,swing_leg,roll,1777514827.2477,1777514827.4775,0.2298,24,0.0,0.0,0.741025,0.0,1.391704,0.0,nan,0.0,0.0,0.19184
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,6,right,stance,right,stance_leg,pitch,1777514827.4775,1777514827.7776,0.3001,31,0.0,0.0,0.523304,0.0,0.72681,0.0,nan,0.0,0.0,0.334789
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,6,right,stance,right,stance_leg,roll,1777514827.4775,1777514827.7776,0.3001,31,0.0,0.0,0.482081,0.0,1.097248,0.0,nan,0.0,0.0,0.328933
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,6,right,stance,left,swing_leg,pitch,1777514827.4775,1777514827.7776,0.3001,31,119.94,0.5966,0.74526,0.237619,1.101838,0.466987,3.2273,6.6698,3.3349,0.137278
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,6,right,stance,left,swing_leg,roll,1777514827.4775,1777514827.7776,0.3001,31,39.98,0.5225,0.559805,0.229777,0.750479,0.586224,3.2273,13.3395,13.3395,0.055613
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,1,left,stance,left,stance_leg,pitch,1777515244.5889,1777515244.7589,0.17,18,69.98,0.9404,0.741679,0.1361,1.183083,0.204428,5.5571,5.884,5.884,0.148364
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,1,left,stance,left,stance_leg,roll,1777515244.5889,1777515244.7589,0.17,18,49.99,0.974,0.494131,0.262943,0.539847,0.359646,5.5571,5.884,5.884,0.218174
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,1,left,stance,right,swing_leg,pitch,1777515244.5889,1777515244.7589,0.17,18,0.0,0.631,0.306467,0.262225,0.53601,0.286593,5.5571,5.884,5.884,0.136507
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,1,left,stance,right,swing_leg,roll,1777515244.5889,1777515244.7589,0.17,18,79.98,0.7673,0.498018,0.064816,0.702676,0.087496,5.5571,17.6519,17.6519,0.01533
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,2,right,stance,right,stance_leg,pitch,1777515244.7589,1777515245.0689,0.3099,32,199.94,0.7722,0.327357,0.214086,0.909447,0.392268,3.1259,16.1335,9.6801,0.253504
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,2,right,stance,right,stance_leg,roll,1777515244.7589,1777515245.0689,0.3099,32,59.98,0.3662,0.743815,0.093804,2.064848,0.291478,3.1259,25.8136,22.5869,0.253541
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,2,right,stance,left,swing_leg,pitch,1777515244.7589,1777515245.0689,0.3099,32,159.96,0.4028,0.341806,0.284139,0.844838,0.597401,3.1259,6.4534,6.4534,0.097914
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,2,right,stance,left,swing_leg,roll,1777515244.7589,1777515245.0689,0.3099,32,89.98,0.3309,0.214568,0.411339,0.452573,1.18116,3.1259,9.6801,9.6801,0.130005
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,3,left,stance,left,stance_leg,pitch,1777515245.0689,1777515245.439,0.3702,38,59.98,0.1942,0.251431,0.334908,0.576521,0.615813,2.6323,5.4069,2.7034,0.415629
