dataset,case_label,side,axis,phase,n_samples,duration_sec,pos_peak1_hz,pos_peak1_amp,pos_peak2_hz,pos_peak2_amp,pos_peak3_hz,pos_peak3_amp,pos_energy_2-4Hz,pos_energy_4-8Hz,pos_energy_8-15Hz,pos_energy_15-20Hz,pos_osc_rad,des_peak1_hz,des_peak1_amp,des_peak2_hz,des_peak2_amp,des_peak3_hz,des_peak3_amp,des_energy_2-4Hz,des_energy_4-8Hz,des_energy_8-15Hz,des_energy_15-20Hz,des_osc_rad,err_peak1_hz,err_peak1_amp,err_peak2_hz,err_peak2_amp,err_peak3_hz,err_peak3_amp,err_energy_2-4Hz,err_energy_4-8Hz,err_energy_8-15Hz,err_energy_15-20Hz,err_osc_rad
real,35/0.5 all_ankles,left,pitch,swing,2123,21.23,2.167,0.00023,2.214,0.00022,2.12,0.00022,0.0,0.0,0.0,0.0,0.06048,4.286,0.10147,2.873,0.08899,1.413,0.07822,0.1472,0.2068,0.0565,0.0054,0.28029,4.286,0.10154,2.873,0.08908,1.413,0.07819,0.0308,0.0433,0.0118,0.0011,0.30532
real,35/0.5 all_ankles,left,pitch,stance,83,0.83,2.41,0.07196,1.205,0.04745,12.048,0.03223,0.1538,0.0217,0.0718,0.0241,0.14478,1.205,0.20293,2.41,0.08006,10.844,0.0321,0.049,0.0108,0.0251,0.0008,0.21772,1.205,0.16537,2.41,0.14551,3.615,0.03853,0.2706,0.0294,0.0585,0.0167,0.31164
real,35/0.5 all_ankles,left,roll,all,2206,22.06,4.442,0.00073,4.488,0.00073,4.397,0.00071,0.0002,0.0005,0.0,0.0,0.05594,1.405,0.07184,1.451,0.07084,2.856,0.03156,0.0545,0.0273,0.0132,0.0007,0.15338,1.405,0.07178,1.451,0.07061,2.856,0.03128,0.0977,0.0503,0.0238,0.0013,0.15791
real,35/0.5 all_ankles,left,roll,swing,2123,21.23,4.475,0.00041,4.522,0.0004,4.428,0.0004,0.0,0.0002,0.0,0.0,0.0515,1.413,0.07838,1.46,0.06224,2.873,0.02965,0.0538,0.0271,0.0133,0.0007,0.14936,1.413,0.07839,1.46,0.06216,2.873,0.0296,0.0961,0.0487,0.0238,0.0013,0.15363
real,35/0.5 all_ankles,left,roll,stance,83,0.83,1.205,0.07847,2.41,0.0484,3.615,0.0333,0.1196,0.0429,0.0625,0.0558,0.11218,3.615,0.10698,1.205,0.07933,2.41,0.05477,0.2267,0.0359,0.0659,0.0744,0.22329,3.615,0.08336,4.819,0.04683,7.229,0.03628,0.3214,0.189,0.1302,0.0644,0.21022
real,35/0.5 all_ankles,right,pitch,all,2206,22.06,1.677,0.00024,1.723,0.00024,1.632,0.00024,0.2436,0.1523,0.0486,0.0149,0.06349,2.856,0.13177,1.451,0.09669,1.405,0.09622,0.2708,0.2447,0.0217,0.003,0.31158,2.856,0.13183,1.451,0.09661,1.405,0.09623,0.2708,0.2447,0.0217,0.003,0.31564
real,35/0.5 all_ankles,right,pitch,swing,158,1.58,3.165,0.05853,3.798,0.05255,2.532,0.0512,0.3819,0.151,0.0577,0.0181,0.16004,0.633,0.16358,3.798,0.07037,5.696,0.06016,0.0996,0.1504,0.036,0.0206,0.28434,0.633,0.12274,2.532,0.10405,4.43,0.09884,0.2365,0.2422,0.0639,0.0284,0.28961
real,35/0.5 all_ankles,right,pitch,stance,2048,20.48,1.611,3e-05,1.563,3e-05,1.66,3e-05,0.2502,0.0733,0.0781,0.0477,0.04215,2.881,0.11435,2.832,0.11138,1.416,0.10892,0.2689,0.2447,0.0215,0.0028,0.31342,2.881,0.11434,2.832,0.1114,1.416,0.10894,0.2689,0.2447,0.0215,0.0028,0.31725
real,35/0.5 all_ankles,right,roll,all,2206,22.06,1.813,0.00012,1.859,0.00012,1.768,0.00012,0.3121,0.2369,0.0583,0.0108,0.02629,2.856,0.107,1.405,0.09406,1.451,0.09325,0.1673,0.1667,0.0275,0.001,0.26985,2.856,0.10707,1.405,0.09401,1.451,0.09326,0.1672,0.1667,0.0275,0.001,0.26938
real,35/0.5 all_ankles,right,roll,swing,158,1.58,3.165,0.03422,0.633,0.03226,2.532,0.03049,0.2958,0.25,0.0603,0.0165,0.08328,2.532,0.05577,6.329,0.05333,3.165,0.05211,0.2736,0.287,0.1216,0.0408,0.19131,6.329,0.07912,5.696,0.05315,0.633,0.04329,0.1081,0.4314,0.1139,0.037,0.19946
