dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,touchdown_time_sec,lag_samples,lag_ms,corr,tracking_lag_ms,xcorr_coeff,range_gain_phase,joint_vel_rms_radps,target_vel_rms_radps,velocity_self_excitation_ratio,joint_lock_flag,raw_sample_count,aligned_sample_count,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_hp_rms_rad,joint_direction_change_rate_hz,target_direction_change_rate_hz,joint_extrema_rate_hz,joint_dominant_freq_hz,target_dominant_freq_hz,f_modal_candidate_hz,freq_gap_hz,amplitude_gain,aligned_tracking_err_rms_rad,aligned_tracking_err_hp_rms_rad,aligned_tracking_err_path_rad,step_risk_score,step_accumulation_score,risk_tags,overall_status
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,1777514425.088886,1,9.999513626098633,0.2368513649093632,9.999513626098633,0.2368513649093632,0.3589747968272997,2.087863195614377,9.851430640739093,0.21193502464305403,0,33,32,0.573896,0.20601419999999998,1.5192705000000002,0.4136890999999999,0.010815099564327094,9.677890062153363,35.48559689456233,6.451926708102242,3.1251519992370236,3.1251519992370236,6.250303998474047,3.1251519992370236,0.3589747968272997,0.09469254453834298,0.06681496646368631,1.5255571799999998,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,1777514425.088886,1,9.999513626098633,0.2997866648910775,9.999513626098633,0.2997866648910775,0.6169084669779054,2.319107793410195,11.285995446852882,0.20548544471164767,0,33,32,0.533567,0.329162,1.9115089999999997,0.4331716000000001,0.009309271455437215,6.451926708102242,22.581743478357847,3.225963354051121,3.1251519992370236,6.250303998474047,3.1251519992370236,3.1251519992370236,0.6169084669779054,0.13443487954974356,0.08347556764519096,2.013511,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,roll,1777514425.088886,4,39.99805450439453,-0.06708727104260874,39.99805450439453,-0.06708727104260874,4.4194613281643695,1.684349728838041,1.2354814288806983,1.3633144857256179,0,15,11,0.03155242,0.1394447,0.08959667,0.14732760000000003,0.008156050560759156,10.000486397558475,50.00243198779238,10.000486397558475,9.091351270507705,9.091351270507705,9.091351270507705,0.0,4.4194613281643695,0.07414407915336552,0.009708739983467248,0.17408943,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,pitch,1777514425.088886,4,39.99805450439453,-0.016466027820256447,39.99805450439453,-0.016466027820256447,0.7462752525252523,0.9571037880856815,4.053171263642758,0.2361370210706299,0,15,11,0.09504000000000001,0.07092599999999999,0.2851459999999999,0.07927299999999998,0.005698984225708447,10.000486397558475,50.00243198779238,0.0,9.091351270507705,27.274053811523114,9.091351270507705,18.18270254101541,0.7462752525252523,0.1388647951485054,0.029220538402896973,0.2922689999999999,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,1777514425.088886,0,0.0,0.6101821533961039,0.0,0.6101821533961039,0.12303847373462311,0.7566893041534146,9.382798014161992,0.08064644501685961,0,15,15,0.305897,0.0376371,0.8094159999999999,0.07507669999999998,0.005598466196578491,42.85922741810775,42.85922741810775,35.71602284842312,6.66699093170565,6.66699093170565,6.66699093170565,0.0,0.12303847373462311,0.289622309526246,0.06386183632442799,0.8023123,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,pitch,1777514425.088886,4,39.99805450439453,0.28576034544264944,39.99805450439453,0.28576034544264944,0.11172031071830135,0.5252622984625042,8.034234777908647,0.06537801209230192,0,15,11,0.3270229,0.036535099999999994,0.5848558,0.04265739999999999,0.003031561972930483,10.000486397558475,50.00243198779238,0.0,9.091351270507705,9.091351270507705,9.091351270507705,0.0,0.11172031071830135,0.23206853212665435,0.053520726899505586,0.5860357999999999,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,left,roll,1777514425.4288707,20,199.99027252197266,0.22801678043662166,199.99027252197266,0.22801678043662166,12.874367295569833,3.963559583262833,0.7626076795580718,5.197376960011339,0,33,13,0.02911312,0.374813,0.06215882,0.38657140000000006,0.016690286794301377,8.333738664632062,50.00243198779238,8.333738664632062,7.69268184427575,7.69268184427575,7.69268184427575,0.0,12.874367295569833,0.13110888894320868,0.01613541159970406,0.3726759000000001,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,left,pitch,1777514425.4288707,20,199.99027252197266,0.17230351456178572,199.99027252197266,0.17230351456178572,4.1627709969788524,3.840103303338886,2.0653952981893866,1.8592582769532224,0,33,13,0.08274999999999999,0.3444693,0.19033499999999998,0.3813453,0.018396752910338956,8.333738664632062,33.33495465852825,8.333738664632062,7.69268184427575,7.69268184427575,7.69268184427575,0.0,4.1627709969788524,0.13349738961071642,0.023510796182056152,0.4256063,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,right,roll,1777514425.4288707,5,49.997568130493164,0.23818415885677513,49.997568130493164,0.23818415885677513,0.12613423036662288,0.6852609218208977,4.325181660868568,0.15843517695931553,0,33,28,0.49657019999999996,0.0626345,0.7959582000000001,0.130384,0.00480268599595599,22.2233031056855,29.631070807580667,18.519419254737915,3.5716022848423123,3.5716022848423123,3.5716022848423123,0.0,0.12613423036662288,0.29649760677033965,0.02930370195457379,0.7903468,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,right,pitch,1777514425.4288707,5,49.997568130493164,0.3017270146199057,49.997568130493164,0.3017270146199057,0.18492827654465321,0.5288438412729471,8.692074703269684,0.06084207273023238,0,33,28,0.602174,0.111359,0.95704,0.11550999999999996,0.0014445168461727944,3.7038838509475833,22.2233031056855,0.0,3.5716022848423123,3.5716022848423123,3.5716022848423123,0.0,0.18492827654465321,0.25200135665462053,0.05533395679227137,1.0479311999999998,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
