dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,cycle_index,lag_ms,target_amplitude_rad,joint_amplitude_rad,amplitude_gain,segment_duration_sec,equivalent_frequency_hz,segment_tracking_err_rms_rad,segment_target_path_rad,segment_joint_path_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,right,pitch,2,49.997568130493164,0.101294,0.004063299999999992,0.040113925800146034,0.0200040340423584,24.994958463940502,0.2792850598099189,0.17508400000000002,0.004063299999999992
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,right,pitch,3,49.997568130493164,0.011165999999999954,0.0909513,8.145378828586814,0.1700284481048584,2.940684371192076,0.26902630706949354,0.011165999999999954,0.0909573
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,right,pitch,4,49.997568130493164,0.19118300000000002,0.008039999999999992,0.04205394831130378,0.039978742599487305,12.506646469826995,0.13500040466161575,0.24803300000000003,0.008339999999999959
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,roll,1,39.99805450439453,0.171404,0.06961599999999998,0.4061515483886023,0.020009756088256836,24.987810835607135,0.5659403089466827,0.33728,0.06961599999999998
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,roll,2,39.99805450439453,0.22232800000000003,0.23219410000000001,1.0443763268684105,0.04002022743225098,12.493682122282657,0.5779660275180604,0.30103399999999997,0.23219410000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,roll,3,39.99805450439453,0.10767600000000005,0.020101300000000002,0.1866831977413722,0.029877185821533203,16.735177234786217,0.456711953621889,0.10767600000000005,0.0353991
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,pitch,1,39.99805450439453,0.0,0.055448,nan,0.03002452850341797,16.653050852841215,0.578289836796394,0.002517999999999909,0.055448
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,pitch,2,39.99805450439453,0.025612000000000024,0.10049319999999999,3.923676401686705,0.03002166748046875,16.654637865311308,0.5141138713705456,0.12331799999999998,0.10049319999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,pitch,3,39.99805450439453,0.026183999999999985,0.1095365,4.1833371524595195,0.029877185821533203,16.735177234786217,0.43172436759937305,0.026183999999999985,0.1095365
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,roll,1,39.99805450439453,0.0582399,0.0524766,0.9010420690969593,0.020009756088256836,24.987810835607135,0.0702890405609343,0.2822473,0.0524766
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,roll,2,39.99805450439453,0.0396379,0.013825500000000004,0.34879496643364066,0.02001333236694336,24.983345643420456,0.0701977173235448,0.12998423999999997,0.013825500000000004
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,roll,3,39.99805450439453,0.0009471999999999953,0.007402400000000003,nan,0.03002166748046875,16.654637865311308,0.05876529911644286,0.01729019999999999,0.007604200000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,roll,4,39.99805450439453,0.0025261000000000033,0.0385732,nan,0.029877185821533203,16.735177234786217,0.044470919846428855,0.013119900000000004,0.0385732
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,pitch,1,0.0,0.684234,0.03522700000000001,0.051483849092561915,0.04999876022338867,10.000247961470603,0.312343572116617,0.6940679999999999,0.03523499999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,pitch,2,0.0,0.06363600000000003,0.070462,1.1072663272361551,0.04985690116882324,10.028701910432058,0.14266869103041963,0.07616400000000001,0.070462
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,pitch,3,0.0,0.0018620000000000303,0.041989,nan,0.020104169845581055,24.87046238867213,0.0582591064984694,0.0027599999999999847,0.041989
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,roll,1,49.997568130493164,0.136675,0.0206364,0.15098884214377173,0.06001901626586914,8.330693022110289,0.49059490926978355,0.15738300000000005,0.0807524
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,roll,2,49.997568130493164,0.01051599999999997,0.0383777,3.6494579688094437,0.02003765106201172,24.953024606158678,0.424263231666792,0.07117200000000001,0.0383777
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,roll,3,49.997568130493164,0.4930752,0.32208400000000004,0.6532147631841959,0.18993592262268066,2.6324667450784474,0.25863653141041965,0.49307520000000005,0.49884000000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,pitch,1,29.9985408782959,0.04131299999999999,0.049422999999999995,1.1963062474281705,0.020045995712280273,24.942637281604206,0.5174121396214691,0.05639299999999997,0.049422999999999995
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,pitch,2,29.9985408782959,0.08225099999999996,0.2107039,2.561718398560505,0.24994659423828125,2.0004273373828636,0.33635990879811284,0.13461899999999993,0.30307209999999984
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,pitch,3,29.9985408782959,0.14680500000000002,0.01673240000000001,0.1139770443785975,0.020003318786621094,24.99585220500596,0.1568553314425642,0.14680500000000002,0.01673240000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,right,roll,1,0.0,0.0005736999999999964,0.0275986,nan,0.020045995712280273,24.942637281604206,0.045551358731509506,0.016916699999999993,0.0275986
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,right,roll,2,0.0,0.0025261000000000033,0.0030637000000000025,nan,0.029877185821533203,16.735177234786217,0.06650819760775735,0.013119900000000004,0.004644900000000007
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,right,roll,3,0.0,0.019898199999999998,0.02904480000000001,1.4596697188690442,0.030133485794067383,16.592836401902066,0.036944615370714036,0.06281320000000001,0.02904480000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,right,roll,4,0.0,0.008438600000000004,0.0319312,nan,0.020212411880493164,24.737275440272715,0.030423630266565277,0.01749479999999999,0.0319312
