timestamp_ns,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint
1775801486028595399,-0.952377,-1.29426,0.512817,-0.122101,0.77085,-0.286274,-0.0244217,1.53846,-0.122101,1.3431,0.515407,-0.0795617
1775801486029639724,-0.952377,-1.29426,0.512817,-0.122101,0.77085,-0.286274,-0.0244217,1.53846,-0.122101,1.3431,0.515407,-0.0795617
1775801486030646383,-1.14774,-1.44078,0.463982,0.170937,0.728077,-0.260193,-0.0244217,1.3431,-0.122101,0.268623,0.257628,-0.0266943
1775801486031662588,-1.05006,-1.39194,0.463982,0.170937,0.599207,-0.286618,0.0244217,1.39194,-0.268623,0.122101,0.257628,-0.0266943
1775801486032635674,-0.65934,-1.14774,0.415138,0.122101,0.556434,-0.260537,0.122101,1.29426,-0.0732574,-0.0732574,0.343751,-0.0792089
1775801486033647679,-0.854698,-1.29426,0.366302,0.122101,0.855827,-0.443093,-0.0732574,1.92918,-0.0244217,-0.0732574,0.472345,-0.0533044
1775801486034669437,-0.952377,-1.24542,0.366302,0.122101,0.556434,-0.260537,0.122101,1.63614,-0.122101,-0.21978,0.471479,0.103702
1775801486035664471,-1.24542,-1.48962,0.366302,-0.0732574,0.513386,-0.286786,0.0732574,1.3431,-0.268623,-0.317459,0.729835,-0.0538337
1775801486036618669,-1.24542,-1.3431,0.512817,-0.0732574,0.428121,-0.182298,0.170937,1.24542,-0.122101,-0.21978,0.687062,-0.0799146
1775801486037659675,-0.952377,-1.0989,0.512817,-0.317459,0.684747,-0.338776,-0.21978,1.24542,0.0732574,-0.21978,0.343456,-0.0268748
1775801486038677499,-0.854698,-1.44078,0.463982,0.415138,0.814186,-0.207687,-0.268623,1.39194,0.0244217,-0.122101,0.429572,-0.0793853
1775801486039675795,-0.65934,-1.3431,0.512817,0.317459,0.598926,-0.338944,-0.0732574,1.3431,-0.0732574,0.0244217,0.386517,-0.0531321
