timestamp_ns,gyro_x,gyro_y,gyro_z
1775801483074643837,-0.000794299,0.00250758,0.00145808
1775801483075684742,-0.000794299,0.00250758,0.00145808
1775801483076630694,-0.000794299,0.00250758,0.00145808
1775801483077656345,0.000861844,0.00229551,0.000885283
1775801483078668753,0.000861844,0.00229551,0.000885283
1775801483079672650,0.000861844,0.00229551,0.000885283
1775801483080664136,0.000861844,0.00229551,0.000885283
1775801483081667818,0.000861844,0.00229551,0.000885283
1775801483082656345,-0.00159727,-0.000317685,0.00224638
1775801483083667976,-0.00159727,-0.000317685,0.00224638
1775801483084638863,-0.00159727,-0.000317685,0.00224638
1775801483085669399,-0.00159727,-0.000317685,0.00224638
1775801483086673675,-0.00159727,-0.000317685,0.00224638
1775801483087676163,-0.00309482,0.000885493,0.00140707
1775801483088665225,-0.00309482,0.000885493,0.0
1775801483089737321,-0.00309482,0.000885493,0.00140707
1775801483090693496,-0.00309482,0.000885493,0.00140707
1775801483091684262,-0.00309482,0.000885493,0.00140707
1775801483092652029,0.000278485,0.00118421,0.000584197
1775801483093693049,0.000278485,0.00118421,0.000584197
1775801483094707257,0.000278485,0.00118421,0.000584197
1775801483095686918,0.000278485,0.00118421,0.000584197
1775801483096654028,0.00245271,0.00238353,0.00465279
1775801483097695829,0.00245271,0.00238353,0.00465279
1775801483098712986,0.00245271,0.00238353,0.00465279
1775801483099734809,0.00245271,0.00238353,0.00465279
1775801483100691722,0.00245271,0.00238353,0.00465279
1775801483101703898,0.00245271,0.00238353,0.00465279
1775801483102734195,0.00139682,-0.000453803,0.00353033
1775801483103707937,0.00139682,-0.000453803,0.00353033
1775801483104714181,0.00139682,-0.000453803,0.00353033
1775801483105736879,0.00139682,-0.000453803,0.00353033
1775801483106706479,-0.00180697,-0.000484381,0.000316446
1775801483107753971,-0.00180697,-0.000484381,0.000316446
1775801483108691306,-0.00180697,-0.000484381,0.000316446
1775801483109724379,-0.00180697,-0.000484381,0.000316446
1775801483110708455,-0.00180697,-0.000484381,0.000316446
1775801483111705091,-0.00180697,-0.000484381,0.000316446
1775801483112683071,-0.00537738,0.000990736,0.00334667
1775801483113721439,-0.00537738,0.000990736,0.00334667
1775801483114716384,-0.00537738,0.000990736,0.00334667
1775801483115713924,-0.00537738,0.000990736,0.00334667
1775801483116685695,-0.00537738,0.000990736,0.00334667
1775801483117697317,-0.00382485,0.00183094,0.00279841
1775801483118685140,-0.00382485,0.00183094,0.00279841
1775801483119728307,-0.00382485,0.00183094,0.00279841
1775801483120685272,-0.00382485,0.00183094,0.00279841
1775801483121697570,-0.00382485,0.00183094,0.00279841
1775801483122712471,-0.00324931,0.0042067,0.00186878
1775801483123709045,-0.00324931,0.0042067,0.00186878
1775801483124677206,-0.00324931,0.0042067,0.00186878
1775801483125685846,-0.00324931,0.0042067,0.00186878
1775801483126695843,-0.00324931,0.0042067,0.00186878
1775801483127689559,-0.00201666,0.00190593,0.00445113
1775801483128666170,-0.00201666,0.00190593,0.00445113
1775801483129701332,-0.00201666,0.00190593,0.00445113
1775801483130692756,-0.00201666,0.00190593,0.00445113
1775801483131702895,-0.00201666,0.00190593,0.00445113
1775801483132685338,-0.00217992,0.00149196,0.00338702
1775801483133709433,-0.00217992,0.00149196,0.00338702
1775801483134725029,-0.00217992,0.00149196,0.00338702
1775801483135711567,-0.00217992,0.00149196,0.00338702
1775801483136714940,-0.00217992,0.00149196,0.00338702
1775801483137703292,-0.000718884,-0.0015617,0.00352598
1775801483138686894,-0.000718884,-0.0015617,0.00352598
1775801483139681321,-0.000718884,-0.0015617,0.00352598
1775801483140649550,-0.000718884,-0.0015617,0.00352598
1775801483141707775,-0.000718884,-0.0015617,0.00352598
1775801483142686862,0.000619749,-0.00319568,0.00338651
1775801483143674963,0.000619749,-0.00319568,0.00338651
1775801483144714200,0.000619749,-0.00319568,0.00338651
1775801483145688185,0.000619749,-0.00319568,0.00338651
1775801483146693378,0.000619749,-0.00319568,0.00338651
1775801483147667366,-0.00148255,0.00163064,0.00347015
1775801483148653025,-0.00148255,0.00163064,0.00347015
1775801483149679155,-0.00148255,0.00163064,0.00347015
1775801483150702355,-0.00148255,0.00163064,0.00347015
1775801483151739475,-0.0062657,0.000904918,0.00544677
1775801483152666779,-0.0062657,0.000904918,0.00544677
1775801483153703256,-0.0062657,0.000904918,0.00544677
1775801483154655034,-0.0062657,0.000904918,0.00544677
1775801483155678675,-0.0062657,0.000904918,0.00544677
1775801483156642099,-0.0062657,0.000904918,0.00544677
1775801483157670176,-0.00231356,0.00238412,0.00246545
1775801483158679222,-0.00231356,0.00238412,0.00246545
1775801483159671716,-0.00231356,0.00238412,0.00246545
1775801483160709238,-0.00231356,0.00238412,0.00246545
1775801483161694294,-0.00231356,0.00238412,0.00246545
1775801483162692135,-0.00239915,-0.000956388,0.00155284
1775801483163682029,-0.00239915,-0.000956388,0.00155284
1775801483164664065,-0.00239915,-0.000956388,0.00155284
1775801483165695770,-0.00239915,-0.000956388,0.00155284
1775801483166716536,-0.00239915,-0.000956388,0.00155284
1775801483167703863,-0.00134902,0.00239953,0.00322441
1775801483168684075,-0.00134902,0.00239953,0.00322441
1775801483169671936,-0.00134902,0.00239953,0.00322441
1775801483170672200,-0.00134902,0.00239953,0.00322441
1775801483171663834,-0.00134902,0.00239953,0.00322441
1775801483172639015,-0.00173655,0.0033784,0.00257366
1775801483173675503,-0.00173655,0.0033784,0.00257366
1775801483174670442,-0.00173655,0.0033784,0.00257366
1775801483175673989,-0.00173655,0.0033784,0.00257366
1775801483176688442,-0.00173655,0.0033784,0.00257366
1775801483177684461,0.000336796,0.00271528,0.00181116
1775801483178660587,0.000336796,0.00271528,0.00181116
1775801483179668597,0.000336796,0.00271528,0.00181116
1775801483180628223,0.000336796,0.00271528,0.00181116
1775801483181667298,0.000336796,0.00271528,0.00181116
1775801483182682631,-0.00261058,0.00120901,5.6252e-05
1775801483183693312,-0.00261058,0.00120901,5.6252e-05
1775801483184677702,-0.00261058,0.00120901,5.6252e-05
1775801483185698484,-0.00261058,0.00120901,5.6252e-05
1775801483186694177,-0.00261058,0.00120901,5.6252e-05
1775801483187691420,-0.00287316,0.00251052,0.00345469
1775801483188665433,-0.00287316,0.00251052,0.00345469
1775801483189695932,-0.00287316,0.00251052,0.00345469
1775801483190686374,-0.00287316,0.00251052,0.00345469
1775801483191680195,-0.00287316,0.00251052,0.00345469
1775801483192656474,-0.00413348,-0.000253544,0.00151756
1775801483193678684,-0.00413348,-0.000253544,0.00151756
1775801483194701410,-0.00413348,-0.000253544,0.00151756
1775801483195691088,-0.00413348,-0.000253544,0.00151756
1775801483196681433,-0.00413348,-0.000253544,0.00151756
1775801483197691746,-0.00114696,0.00142457,0.00130195
1775801483198691679,-0.00114696,0.00142457,0.00130195
1775801483199749581,-0.00114696,0.00142457,0.00130195
1775801483200669547,-0.00114696,0.00142457,0.00130195
1775801483201742160,-0.00114696,0.00142457,0.00130195
1775801483202702465,-0.00135792,0.004246,0.0019721
1775801483203703741,-0.00135792,0.004246,0.0019721
1775801483204664798,-0.00135792,0.004246,0.0019721
1775801483205666055,-0.00135792,0.004246,0.0019721
1775801483206688590,-0.00135792,0.004246,0.0019721
1775801483207671336,-0.0039513,0.000384863,0.000423556
1775801483208628426,-0.0039513,0.000384863,0.000423556
1775801483209656148,-0.0039513,0.000384863,0.000423556
1775801483210686911,-0.0039513,0.000384863,0.000423556
1775801483211680872,-0.0039513,0.000384863,0.000423556
1775801483212653272,-0.00402949,-0.00304445,0.00128833
1775801483213677833,-0.00402949,-0.00304445,0.00128833
1775801483214694678,-0.00402949,-0.00304445,0.00128833
1775801483215693990,-0.00402949,-0.00304445,0.00128833
1775801483216699828,0.00107748,-0.000201952,0.0012411
1775801483217692038,0.00107748,-0.000201952,0.0012411
1775801483218718433,0.00107748,-0.000201952,0.0012411
1775801483219705470,0.00107748,-0.000201952,0.0012411
1775801483220664148,0.00107748,-0.000201952,0.0012411
1775801483221698767,0.00107748,-0.000201952,0.0012411
1775801483222734555,0.00101814,0.000466544,0.00189637
1775801483223684198,0.00101814,0.000466544,0.00189637
1775801483224689596,0.00101814,0.000466544,0.00189637
1775801483225718411,0.00101814,0.000466544,0.00189637
1775801483226740684,0.00101814,0.000466544,0.00189637
1775801483227706703,0.000517089,0.00470806,0.0012946
1775801483228679865,0.000517089,0.00470806,0.0012946
