timestamp_ns,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint
1775801496276654189,0.00306892,0.00306892,0.00306892,0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,0.0153437,-0.00920582,-0.00349834,-0.00288285
1775801496277673211,0.00306892,0.00306892,0.00306892,0.00306892,5.73806e-06,-0.00286425,0.00920582,0.00920582,0.00920582,-0.00306892,-1.76596e-05,-0.00859121
1775801496278675758,0.00920582,-0.00306892,-0.00306892,0.00306892,5.73806e-06,-0.00286425,-0.00306892,0.00306892,0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496279665867,0.00306892,0.00306892,0.0153437,0.00306892,5.73806e-06,-0.00286425,-0.00306892,0.00306892,0.0153437,-0.00920582,-5.88715e-06,-0.00286403
1775801496280854909,0.00306892,0.00306892,0.00306892,0.00306892,1.72124e-05,-0.00859186,0.00306892,0.00306892,-0.00306892,-0.00306892,0.00348657,-0.00284433
1775801496281798790,0.00306892,0.00306892,0.00306892,0.00306892,1.72124e-05,-0.00859186,0.00306892,0.00306892,-0.00306892,-0.00306892,0.00348657,-0.00284433
1775801496282855102,0.00306892,0.00306892,0.00920582,0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,-0.00306892,-0.00306892,0.00348657,-0.00284433
1775801496283771674,0.00306892,0.00306892,0.00306892,0.00920582,0.00174643,-9.51336e-06,0.00306892,0.00306892,-0.00306892,0.00306892,0.00173432,-0.00571799
1775801496284753094,-0.00306892,0.00306892,0.00306892,-0.00306892,-0.00173475,-0.00571866,0.00920582,-0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
1775801496285761873,0.00306892,0.00306892,-0.00920582,-0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
1775801496286867278,0.00306892,0.00306892,-0.00920582,-0.00306892,-0.00348698,-0.00284501,0.00306892,0.00306892,-0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496287771556,0.00306892,0.00306892,-0.00920582,-0.00306892,-0.00348698,-0.00284501,0.00306892,0.00306892,-0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496288751421,0.00920582,0.00306892,0.0153437,0.00306892,-5.73806e-06,0.00286425,0.00306892,0.00306892,-0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496289765481,0.00306892,0.00306892,0.00306892,-0.00306892,0.0017577,-0.00573745,0.00306892,0.00920582,0.00920582,-0.00306892,-0.00174636,-9.63038e-06
1775801496290853802,0.00306892,0.00306892,0.00306892,0.00920582,1.72124e-05,-0.00859186,0.00920582,0.00306892,0.00306892,-0.00306892,-0.00174636,-9.63038e-06
1775801496291785915,0.00306892,0.00306892,-0.00306892,0.00306892,0.0017465,-9.39639e-06,0.00306892,0.00306892,0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496292780342,0.00306892,-0.00306892,-0.00306892,0.00306892,5.73806e-06,-0.00286425,0.00920582,0.00920582,0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496293735076,0.00306892,0.00306892,-0.00306892,-0.00306892,0.00349846,-0.0028826,0.00920582,0.00306892,-0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496294926190,0.00306892,0.00920582,-0.0153437,0.00306892,1.72124e-05,-0.00859186,0.00306892,-0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
1775801496295766748,0.00306892,0.00306892,0.0276184,0.00306892,-0.00173475,-0.00571866,0.00306892,0.00306892,0.00920582,-0.00306892,0.00348657,-0.00284433
1775801496296783995,0.00306892,0.00920582,-0.0153437,-0.00306892,-5.73806e-06,0.00286425,0.00306892,0.00306892,0.0153437,-0.00306892,-5.88715e-06,-0.00286403
1775801496297767222,0.00306892,0.00920582,-0.0153437,-0.00306892,-5.73806e-06,0.00286425,0.00306892,0.00306892,0.0153437,-0.00306892,-5.88715e-06,-0.00286403
1775801496298755112,0.00306892,-0.00920582,0.00920582,-0.00306892,5.73806e-06,-0.00286425,0.00306892,-0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
1775801496299687967,-0.00306892,0.00306892,0.00306892,0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,0.0214815,-0.00920582,-1.76596e-05,-0.00859121
1775801496300814243,0.00306892,0.00306892,0.0153437,-0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,0.0153437,0.00306892,0.00174636,9.63038e-06
1775801496301668389,0.00306892,0.00306892,0.0153437,-0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,0.0153437,0.00306892,0.00174636,9.63038e-06
1775801496302671037,0.00920582,0.00920582,0.00306892,0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,0.00920582,0.00306892,-0.00174636,-9.63038e-06
1775801496303640284,0.00306892,0.00306892,-0.00306892,0.00306892,-0.00173475,-0.00571866,0.00920582,0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
1775801496304615301,0.00306892,0.00920582,-0.0153437,0.00306892,5.73806e-06,-0.00286425,0.00306892,0.00306892,-0.00306892,0.00306892,-0.00174636,-9.63038e-06
1775801496305678095,0.00306892,-0.00306892,0.00306892,0.00306892,-0.0017465,9.39639e-06,0.00306892,0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
1775801496306609208,0.00306892,0.00306892,0.0153437,0.00306892,-0.0017465,9.39639e-06,0.00306892,0.00306892,0.00306892,-0.00306892,0.00173432,-0.00571799
1775801496307678602,0.00306892,-0.00306892,-0.00306892,0.00306892,1.72124e-05,-0.00859186,-0.00306892,0.00306892,0.0214815,-0.00306892,-0.00175787,-0.00573725
1775801496308648423,0.00306892,0.00306892,0.00306892,-0.00306892,0.00349846,-0.0028826,-0.00306892,0.00306892,0.00920582,-0.00306892,-0.00175787,-0.00573725
1775801496309971853,-0.00306892,0.00920582,0.00920582,0.00306892,5.73806e-06,-0.00286425,0.00920582,0.00306892,0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496310647999,-0.00306892,0.00920582,0.00920582,0.00306892,5.73806e-06,-0.00286425,0.00920582,0.00306892,0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496311845787,0.00306892,0.00306892,0.00306892,0.00306892,5.73806e-06,-0.00286425,-0.00306892,-0.00306892,-0.00306892,-0.00306892,-5.88715e-06,-0.00286403
1775801496312606724,0.00306892,0.00306892,-0.00920582,0.00306892,5.73806e-06,-0.00286425,0.00920582,0.00306892,-0.0153437,-0.00306892,-0.00174636,-9.63038e-06
1775801496313818041,0.00920582,0.00306892,-0.00306892,0.00306892,5.73806e-06,-0.00286425,0.00920582,0.00920582,-0.00306892,-0.00306892,0.00173432,-0.00571799
1775801496314740415,0.00306892,0.00306892,0.00920582,0.00306892,0.0017577,-0.00573745,0.00306892,0.00306892,0.00920582,-0.00306892,-5.88715e-06,-0.00286403
