timestamp_ns,accel_x,accel_y,accel_z
1775801479377780830,-0.354825,-0.004915,9.86167
1775801479378967670,-0.354825,-0.004915,9.86167
1775801479379777577,-0.354825,-0.004915,9.86167
1775801479380759167,-0.354825,-0.004915,9.86167
1775801479381878371,-0.365142,0.004452,9.86066
1775801479383012624,-0.365142,0.004452,9.86066
1775801479383876432,-0.365142,0.004452,9.86066
1775801479384762920,-0.365142,0.004452,9.86066
1775801479385938371,-0.365142,0.004452,9.86066
1775801479386919492,-0.358322,0.027976,9.85702
1775801479387834267,-0.358322,0.027976,9.85702
1775801479388769722,-0.358322,0.027976,9.85702
1775801479389902821,-0.358322,0.027976,9.85702
1775801479390871163,-0.358322,0.027976,9.85702
1775801479391891953,-0.343097,0.017258,9.86432
1775801479392888563,-0.343097,0.017258,9.86432
1775801479393993637,-0.343097,0.017258,9.86432
1775801479394797952,-0.343097,0.017258,9.86432
1775801479395863519,-0.343097,0.017258,9.86432
1775801479396818060,-0.341855,-0.001514,9.866
1775801479397685932,-0.341855,-0.001514,9.866
1775801479399017787,-0.341855,-0.001514,9.866
1775801479399753331,-0.341855,-0.001514,9.866
1775801479400927289,-0.341855,-0.001514,9.866
1775801479401658989,-0.341855,-0.001514,9.866
1775801479402795352,-0.345769,0.008174,9.86691
1775801479403922143,-0.345769,0.008174,9.86691
1775801479404750461,-0.345769,0.008174,9.86691
1775801479405981529,-0.345769,0.008174,9.86691
1775801479406952844,-0.338238,0.027843,9.87314
1775801479408043227,-0.338238,0.027843,9.87314
1775801479408680359,-0.338238,0.027843,9.87314
1775801479409894719,-0.338238,0.027843,9.87314
1775801479410852304,-0.338238,0.027843,9.87314
1775801479411892165,-0.338326,0.025096,9.85999
1775801479412690898,-0.338326,0.025096,9.85999
1775801479413884011,-0.338326,0.025096,9.85999
1775801479414781896,-0.338326,0.025096,9.85999
1775801479415977291,-0.338326,0.025096,9.85999
1775801479416683624,-0.338326,0.025096,9.85999
1775801479417864105,-0.341568,0.003859,9.85063
1775801479418760545,-0.341568,0.003859,9.85063
1775801479419834365,-0.341568,0.003859,9.85063
1775801479420664332,-0.341568,0.003859,9.85063
1775801479421841102,-0.338533,0.003879,9.84903
1775801479422749896,-0.338533,0.003879,9.84903
1775801479423856051,-0.338533,0.003879,9.84903
1775801479424668759,-0.338533,0.003879,9.84903
1775801479425834169,-0.338533,0.003879,9.84903
1775801479426702687,-0.338533,0.003879,9.84903
1775801479427888928,-0.340737,0.024772,9.85606
1775801479428691140,-0.340737,0.024772,9.85606
1775801479429910644,-0.340737,0.024772,9.85606
1775801479430779365,-0.340737,0.024772,9.85606
1775801479431885032,-0.347935,0.029915,9.83803
1775801479432691043,-0.347935,0.029915,9.83803
1775801479433899973,-0.347935,0.029915,9.83803
1775801479434798300,-0.347935,0.029915,9.83803
1775801479435898430,-0.347935,0.029915,9.83803
1775801479436702214,-0.362987,0.022632,9.82718
1775801479437949697,-0.362987,0.022632,9.82718
1775801479438804083,-0.362987,0.022632,9.82718
1775801479439924579,-0.362987,0.022632,9.82718
1775801479441012539,-0.362987,0.022632,9.82718
1775801479441911226,-0.366751,0.021728,9.83054
1775801479443181842,-0.366751,0.021728,9.83054
1775801479443916194,-0.366751,0.021728,9.83054
1775801479444953960,-0.366751,0.021728,9.83054
1775801479445995949,-0.366751,0.021728,9.83054
1775801479446990707,-0.367799,0.036499,9.83365
1775801479448003599,-0.367799,0.036499,9.83365
1775801479448670896,-0.367799,0.036499,9.83365
1775801479449868771,-0.367799,0.036499,9.83365
1775801479450748151,-0.367799,0.036499,9.83365
1775801479451860126,-0.371741,0.040289,9.82402
1775801479452802771,-0.371741,0.040289,9.82402
1775801479453915574,-0.371741,0.040289,9.82402
1775801479454783057,-0.371741,0.040289,9.82402
1775801479455920647,-0.371741,0.040289,9.82402
1775801479456728460,-0.371741,0.040289,9.82402
1775801479457905984,-0.37145,0.021953,9.81492
1775801479458805505,-0.37145,0.021953,9.81492
1775801479459851185,-0.37145,0.021953,9.81492
1775801479460679746,-0.37145,0.021953,9.81492
1775801479461895170,-0.362379,0.008554,9.81842
1775801479463023793,-0.362379,0.008554,9.81842
1775801479463975196,-0.362379,0.008554,9.81842
1775801479466245271,-0.362379,0.008554,9.81842
1775801479466386326,-0.362379,0.008554,9.81842
1775801479466814422,-0.366241,0.019812,9.81241
1775801479467941524,-0.366241,0.019812,9.81241
1775801479468765300,-0.366241,0.019812,9.81241
1775801479469914660,-0.366241,0.019812,9.81241
1775801479471075572,-0.366241,0.019812,9.81241
1775801479471706271,-0.366241,0.019812,9.81241
1775801479472740487,-0.363259,0.027668,9.79699
1775801479473739843,-0.363259,0.027668,9.79699
1775801479474850221,-0.363259,0.027668,9.79699
1775801479475743920,-0.363259,0.027668,9.79699
1775801479476751287,-0.364983,0.015293,9.79432
1775801479477751825,-0.364983,0.015293,9.79432
1775801479478775454,-0.364983,0.015293,9.79432
1775801479479772007,-0.364983,0.015293,9.79432
1775801479480830489,-0.364983,0.015293,9.79432
1775801479481855434,-0.364983,0.015293,9.79432
1775801479483017206,-0.370381,-0.002546,9.79088
1775801479483701036,-0.370381,-0.002546,9.79088
1775801479484841444,-0.370381,-0.002546,9.79088
1775801479485696097,-0.370381,-0.002546,9.79088
1775801479486750290,-0.370381,-0.002546,9.79088
1775801479487693617,-0.35433,0.006523,9.79482
1775801479488717824,-0.35433,0.006523,9.79482
1775801479489715926,-0.35433,0.006523,9.79482
1775801479490684791,-0.35433,0.006523,9.79482
1775801479491694282,-0.35433,0.006523,9.79482
1775801479492725210,-0.345356,0.018976,9.7832
1775801479493699933,-0.345356,0.018976,9.7832
1775801479494682900,-0.345356,0.018976,9.7832
1775801479495675533,-0.345356,0.018976,9.7832
1775801479496711265,-0.348319,0.014556,9.77671
1775801479497689941,-0.348319,0.014556,9.77671
1775801479498682524,-0.348319,0.014556,9.77671
1775801479499671024,-0.348319,0.014556,9.77671
1775801479500687087,-0.348319,0.014556,9.77671
1775801479501700606,-0.348319,0.014556,9.77671
1775801479502681623,-0.351363,-0.004708,9.77421
1775801479503673882,-0.351363,-0.004708,9.77421
1775801479504674746,-0.351363,-0.004708,9.77421
1775801479505716769,-0.351363,-0.004708,9.77421
1775801479506665393,-0.351363,-0.004708,9.77421
1775801479507676228,-0.351558,-0.002084,9.76911
1775801479508833901,-0.351558,-0.002084,9.76911
1775801479509774457,-0.351558,-0.002084,9.76911
1775801479510906247,-0.351558,-0.002084,9.76911
1775801479511782873,-0.351558,-0.002084,9.76911
1775801479512848892,-0.344514,0.023209,9.76516
1775801479513801401,-0.344514,0.023209,9.76516
1775801479514982382,-0.344514,0.023209,9.76516
1775801479515792122,-0.344514,0.023209,9.76516
1775801479516819882,-0.339395,0.017681,9.76577
1775801479517806279,-0.339395,0.017681,9.76577
1775801479519050832,-0.339395,0.017681,9.76577
1775801479519745466,-0.339395,0.017681,9.76577
1775801479520885415,-0.339395,0.017681,9.76577
1775801479521802222,-0.339395,0.017681,9.76577
1775801479522939064,-0.340422,0.006424,9.76321
1775801479523700878,-0.340422,0.006424,9.76321
1775801479524880420,-0.340422,0.006424,9.76321
1775801479525808294,-0.340422,0.006424,9.76321
1775801479526898695,-0.343941,0.012813,9.75639
1775801479527840173,-0.343941,0.012813,9.75639
1775801479528852013,-0.343941,0.012813,9.75639
1775801479529802385,-0.343941,0.012813,9.75639
1775801479530992860,-0.343941,0.012813,9.75639
