stage,case_label,detector,seq,side,time_sec,source,rel_height_m,foot_vz_mps,hip_pitch_rad
real,30/0.4 all_ankles,old,2,left,1777514594.8976555,contact_refined,-0.07241027469150418,-0.03181310051744787,0.334701
real,30/0.4 all_ankles,old,3,left,1777514594.8976555,contact_refined,-0.07241027469150418,-0.03181310051744787,0.334701
real,30/0.4 all_ankles,old,4,right,1777514595.4175558,contact_refined,-0.030044093555554874,0.05287746899336628,-0.480431
real,30/0.4 all_ankles,old,5,right,1777514595.9376495,contact_refined,-0.06943626796596669,-0.24811930972598492,-0.501332
real,30/0.4 all_ankles,old,6,right,1777514596.077644,contact_refined,-0.06549385941714092,0.05510057102393532,-0.340645
real,30/0.4 all_ankles,old,7,left,1777514596.4177582,contact_refined,-0.08573609591804077,0.15691665594191934,0.456462
real,30/0.4 all_ankles,new,0,left,1777514594.847755,kinematic_fk_hip,-0.028761657601226343,0.02274336906383679,0.436712
real,30/0.4 all_ankles,new,1,right,1777514595.1277688,kinematic_fk_hip,-0.004397330402830191,0.0728052820739705,-0.542942
real,30/0.4 all_ankles,new,2,left,1777514595.4976962,kinematic_fk_hip,0.011965488822816006,0.013115981929473833,0.42233
real,30/0.4 all_ankles,new,3,right,1777514595.8676746,kinematic_fk_hip,-0.014753201387788517,0.10590702481126568,-0.625969
real,30/0.4 all_ankles,new,4,left,1777514596.1976144,kinematic_fk_hip,-0.006638055834601364,-0.0582495007666928,0.356368
real,30/0.4 all_ankles,new,5,right,1777514596.537712,kinematic_fk_hip,0.004448901307806341,-0.012725206931751842,-0.5811
real,30/0.4 all_ankles,new,6,left,1777514596.9576745,kinematic_fk_hip,-0.022365927488908532,-0.06911166266763553,0.297117
real,30/0.4 all_ankles,new,7,right,1777514597.24785,kinematic_fk_hip,0.002086842999727667,-0.05559823109283332,-0.463365
real,35/0.5 all_ankles,old,0,right,1777514826.2977035,contact_refined,-0.06517068338160287,-0.030735513942538414,-0.444382
real,35/0.5 all_ankles,old,1,left,1777514826.5676398,contact_refined,-0.01498047396922475,-0.28030604549779414,0.313992
real,35/0.5 all_ankles,old,2,left,1777514826.5974853,contact_refined,-0.035651364855584455,-0.03518205201345852,0.310349
real,35/0.5 all_ankles,old,3,right,1777514826.6774597,contact_refined,0.10651721317604945,0.8511050754987425,-0.694616
real,35/0.5 all_ankles,old,4,left,1777514827.387532,contact_refined,-0.032400012304250214,0.4434295432535814,0.284654
real,35/0.5 all_ankles,old,5,right,1777514827.6075487,contact_refined,-0.08375859141009784,0.04433972312037408,-0.546585
real,35/0.5 all_ankles,old,6,right,1777514827.7176874,contact_refined,0.015031850156244309,0.06318263085944544,-0.207378
real,35/0.5 all_ankles,old,7,right,1777514828.1477833,contact_refined,0.050948999948489504,0.0,-0.429042
real,35/0.5 all_ankles,new,0,left,1777514825.8477206,kinematic_fk_hip,-0.01785318846313938,-0.036519536747342644,0.442081
real,35/0.5 all_ankles,new,1,right,1777514826.1375866,kinematic_fk_hip,-0.004857355187899537,0.013011408721661715,-0.547736
real,35/0.5 all_ankles,new,2,left,1777514826.4476342,kinematic_fk_hip,0.013895971668561602,-0.04856061685313697,0.532587
real,35/0.5 all_ankles,new,3,right,1777514826.837477,kinematic_fk_hip,-0.0033022216316594966,-0.030302611969854277,-0.481965
real,35/0.5 all_ankles,new,4,left,1777514827.1576958,kinematic_fk_hip,-0.011057694346645608,-0.008671465550702718,0.582442
real,35/0.5 all_ankles,new,5,right,1777514827.4676,kinematic_fk_hip,-0.08706718119767559,0.06848221967309512,-0.909185
real,35/0.5 all_ankles,new,6,left,1777514827.7476778,kinematic_fk_hip,-0.03125711895332034,0.05277524610925861,0.711491
real,40/0.8 all_ankles,old,0,left,1777515244.3388574,contact_refined,0.0447904257743682,-0.31757686495396803,0.514562
real,40/0.8 all_ankles,old,1,left,1777515244.4688594,contact_refined,-0.02283218794172709,-0.12307347465520473,0.374201
real,40/0.8 all_ankles,old,2,left,1777515245.2989514,contact_refined,-0.05951295811711693,0.1601124754806546,0.433836
real,40/0.8 all_ankles,old,3,right,1777515245.3290083,contact_refined,0.05064918010341213,-0.20890568375304577,-0.508235
