stage,case_label,diag_csv,side,axis,window,touchdown_time_sec,sample_count,dt_ms,output_mean_abs_rad,output_range_rad,output_std_rad,output_net_delta_abs_rad,output_path_length_rad,output_hp_rms_rad,output_vel_rms_radps,output_flip_rate,output_direction_change_rate_hz,output_extrema_rate_hz,output_dominant_freq_hz,joint_mean_abs_rad,joint_range_rad,joint_std_rad,joint_net_delta_abs_rad,joint_path_length_rad,joint_hp_rms_rad,joint_vel_rms_radps,joint_flip_rate,joint_direction_change_rate_hz,joint_extrema_rate_hz,joint_dominant_freq_hz,tracking_err_rms_rad,joint_to_output_hp_rms_ratio
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,pitch,touchdown,1778045946.6283128,15,9.996823841241197,0.30104026666666667,0.534551,0.13467373743506522,0.474927,0.649737,0.06525041631175889,8.70161044946001,0.3076923076923077,28.580506193936465,28.580506193936465,6.668784778585175,0.2787077333333333,0.10631299999999999,0.03991353150911216,0.09968900000000003,0.11293699999999995,0.0037616737687965205,1.0013031484756705,0.08333333333333333,7.145126548484116,0.0,6.668784778585175,0.11682401563605548,0.05764980488130039
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,roll,swing,1778045946.9583108,32,9.996823841241197,0.4017696500000001,0.5602163,0.1130282323721296,0.29453229999999997,0.9758183000000005,0.03842662558518206,5.1510306102905155,0.32142857142857145,29.041482100290274,22.58781941133688,6.251985729923601,0.0130600121875,0.048715169999999995,0.015125116243522928,0.03845223,0.07333153,0.0014387719882793856,0.27143185304499245,0.2222222222222222,19.360988066860184,9.680494033430092,3.1259928649618005,0.4104783608761823,0.03744205915479083
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,pitch,swing,1778045946.9583108,32,9.996823841241197,0.36641808124999997,0.741304,0.2220640839827688,0.678466,0.8041419999999999,0.02478431661086907,5.572329576964741,0.125,3.226831344476697,3.226831344476697,3.1259928649618005,0.20830809375,0.21581500000000003,0.05648135377956571,0.16603800000000002,0.26559200000000005,0.007067925310828711,1.1826174652357093,0.03333333333333333,3.226831344476697,3.226831344476697,3.1259928649618005,0.28563291115467154,0.28517733298036946
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,roll,swing,1778045946.9583108,32,9.996823841241197,0.030866754250000003,0.17858459,0.03834216319810021,0.17635801999999998,0.26858534,0.009909694517675403,1.3964402228642034,0.21428571428571427,19.360988066860184,12.907325377906789,3.1259928649618005,0.015310630937500002,0.0605601,0.014318059312870375,0.0581481,0.08598729999999999,0.0020727541464575483,0.36230553180224245,0.11538461538461539,9.680494033430092,3.226831344476697,3.1259928649618005,0.0350139554507545,0.20916428278999777
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,pitch,swing,1778045946.9583108,32,9.996823841241197,0.28491340625,0.167061,0.05099337856394897,0.062343999999999955,0.47881999999999997,0.01584741718369279,2.2192610143027034,0.3,29.041482100290274,29.041482100290274,3.1259928649618005,0.27744437499999997,0.09885899999999997,0.033637931624646226,0.008632,0.20634999999999995,0.00419599993140892,0.8338683894728846,0.06896551724137931,6.453662688953394,3.226831344476697,3.1259928649618005,0.05453670522885252,0.2647750029403316
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,roll,touchdown,1778045946.9583108,14,9.996823841241197,0.023728995714285717,0.1321889,0.033021292123955784,0.1136405,0.18078509999999998,0.015902082038666485,2.080445280548747,0.25,23.084255002794833,23.084255002794833,7.145126548484116,0.03385730714285714,0.1121209,0.03153075157766621,0.0718638,0.1781872,0.011949584303970459,1.8736849318581859,0.25,23.084255002794833,23.084255002794833,14.290253096968232,0.037363271207899756,0.7514477836873571
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,pitch,touchdown,1778045946.9583108,14,9.996823841241197,0.2880655,0.70286,0.23547631857652274,0.675259,0.8380749999999999,0.052525801888839124,9.524642353171535,0.16666666666666666,15.389503335196556,15.389503335196556,7.145126548484116,0.3186627142857143,0.024791000000000007,0.007772766426335435,0.006676000000000015,0.08096799999999993,0.0059042552582676934,0.7723942820176288,0.4166666666666667,38.47375833799139,38.47375833799139,14.290253096968232,0.2726808224071558,0.11240676098125883
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,roll,touchdown,1778045946.9583108,14,9.996823841241197,0.12043341428571429,0.35246500000000003,0.12210420466609656,0.283406,0.7209668,0.06010705300107279,8.232160889984204,0.4166666666666667,38.47375833799139,38.47375833799139,7.145126548484116,0.02016783714285714,0.0657818,0.025323879328901875,0.0491716,0.08459664000000003,0.009451574456816518,1.4119128024620367,0.5,23.084255002794833,15.389503335196556,7.145126548484116,0.10624382789085142,0.15724568058007812
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,pitch,touchdown,1778045946.9583108,14,9.996823841241197,0.3368924285714286,0.13377799999999995,0.036940058571216385,0.030025999999999997,0.40520199999999984,0.02416950484395417,3.5609658964148267,0.5,46.16851000558967,46.16851000558967,7.145126548484116,0.208985,0.081283,0.02370552443750492,0.0007089999999999874,0.161857,0.015103529727357073,2.1347803542029844,0.16666666666666666,15.389503335196556,15.389503335196556,7.145126548484116,0.14039990479138004,0.6249002544681884
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,roll,swing,1778045947.3183627,33,9.996823841241197,0.02242659942424242,0.3667798,0.060932900446586724,0.31829599999999997,0.47326802,0.03574528305131152,4.645204323320777,0.20833333333333334,15.629964324809002,15.629964324809002,9.09379742534342,0.013597535684848484,0.0504504,0.011913234533159942,0.037756899999999996,0.09326672,0.003467581043569473,0.454898855829101,0.1724137931034483,15.629964324809002,12.503971459847202,3.031265808447807,0.06373894700480455,0.09700807344543451
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,pitch,swing,1778045947.3183627,33,9.996823841241197,0.307263303030303,0.22124699999999997,0.054510884491906664,0.038714000000000026,0.5958379999999999,0.01984611271787792,2.9058036955491153,0.2962962962962963,25.007942919694404,18.755957189770804,3.031265808447807,0.29716290909090914,0.18315199999999998,0.04612632815028852,0.138791,0.281011,0.00943771812315552,1.5193676413976702,0.16666666666666666,15.629964324809002,12.503971459847202,3.031265808447807,0.07530499103524402,0.4755449219359601
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,roll,swing,1778045947.3183627,33,9.996823841241197,0.18939691606060605,0.33398807,0.10711259091828822,0.058257170000000004,0.8137363699999999,0.0193974804585264,3.288921719579317,0.3225806451612903,31.259928649618004,31.259928649618004,3.031265808447807,0.011310591666666666,0.0364795,0.013024562217486753,0.03526148,0.03805712,0.0002480776950160677,0.14013573759401712,0.043478260869565216,3.1259928649618005,0.0,3.031265808447807,0.22002220439834244,0.01278917102385955
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,pitch,swing,1778045947.3183627,33,9.996823841241197,0.21587755242424242,0.739729,0.2104249952122633,0.13017800000000002,1.38712,0.05315511724622135,7.840624423882226,0.2,18.755957189770804,15.629964324809002,3.031265808447807,0.27284469696969693,0.18174900000000002,0.052566215760340956,0.18174900000000002,0.18174900000000002,0.0018832606612710927,0.6024182811807177,0.0,0.0,0.0,3.031265808447807,0.2954162343104598,0.035429526992624
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,roll,touchdown,1778045947.3183627,15,9.996823841241197,0.33932774,0.4432378,0.1196243443886001,0.4432378,0.5946617999999999,0.059898284342935294,7.4327785956848444,0.3076923076923077,28.580506193936465,28.580506193936465,20.006354335755525,0.017915254,0.0212774,0.00657033567562754,0.01912059,0.023434209999999997,0.0008706720748649764,0.1777168158432414,0.07692307692307693,7.145126548484116,7.145126548484116,6.668784778585175,0.3782657554538306,0.014535843295279087
sim,2504,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,pitch,touchdown,1778045947.3183627,15,9.996823841241197,0.22898128000000004,0.3119328,0.09983275393685981,0.3119328,0.5590588,0.03627952337915689,4.924079991161077,0.3333333333333333,28.580506193936465,28.580506193936465,6.668784778585175,0.22567693333333333,0.124923,0.03628072354380798,0.052118,0.19772800000000001,0.014259993033280337,2.1893197179904655,0.07692307692307693,7.145126548484116,7.145126548484116,6.668784778585175,0.13148124744419892,0.3930589959589411
