stage,case_label,side,axis,window,events,mean_output_hp_rms_rad,mean_joint_hp_rms_rad,mean_output_range_rad,mean_joint_range_rad,mean_output_path_length_rad,mean_joint_path_length_rad,mean_output_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_output_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_output_flip_rate,mean_joint_flip_rate,mean_tracking_err_rms_rad,mean_joint_to_output_hp_rms_ratio
real,35/0.5 all_ankles,right,pitch,touchdown,4,0.05657759892389148,0.009961466030603649,0.2409867,0.301032,0.68182445,0.31191674999999996,31.319732213639195,1.9231414517146874,16.607700108021838,6.6867323015571785,0.451948051948052,0.020833333333333332,0.3215559542747601,0.15163766777301527
real,35/0.5 all_ankles,right,roll,swing,4,0.04988078219202169,0.020887502440604642,0.3995235,0.287624275,1.3608386849999998,0.5861014899999999,40.64927449341879,9.4776518330013,4.54699971691343,5.328275931672523,0.4229438959955506,0.11907918637618303,0.17070386420020595,0.6013579795212922
real,35/0.5 all_ankles,right,roll,touchdown,4,0.06804120255317592,0.010576248669806304,0.34540055,0.15558192999999998,0.976676715,0.23695570999999996,36.96094713866895,7.1797280864015,10.01521700062607,6.6867323015571785,0.4033466533466533,0.07738095238095238,0.1550621747091678,0.2426962175213935
real,40/0.8 all_ankles,left,pitch,swing,4,0.028731801882004117,0.007594023808496527,0.48202659999999997,0.20297042499999998,0.9415776,0.37244239999999995,21.876885433668928,8.619694491146053,12.33534341010986,3.0542404988563763,0.2611538461538461,0.09800190076886406,0.2545147092066852,0.40861810863706927
real,40/0.8 all_ankles,left,pitch,touchdown,4,0.04299900296555392,0.010714678223028518,0.34876124999999997,0.23785225,0.5880652499999999,0.279065075,26.07367570053603,14.048829829512563,13.230306905123589,6.563065630100679,0.5611111111111111,0.16783216783216784,0.27217583390247274,0.2823266233070565
real,40/0.8 all_ankles,left,roll,swing,4,0.019015400818772933,0.009800440360411222,0.38850737500000004,0.2504132,0.7480763966999999,0.552418225,33.873887123100275,12.576688745853453,3.8118815528362524,4.569522606816129,0.3548387096774194,0.136939853805816,0.18346209762681212,0.5558624445789542
real,40/0.8 all_ankles,left,roll,touchdown,4,0.02782542957150369,0.015376924864715417,0.29578432499999996,0.3044082,0.50695373,0.40655462499999995,40.36062128987084,12.382019510756836,8.229875948856407,6.563065630100679,0.4423076923076924,0.14722777222777222,0.18080982216159475,0.6341454001970661
real,40/0.8 all_ankles,right,pitch,swing,4,0.03796000515115042,0.004306705798949237,0.35658996249999997,0.16051137499999998,0.8055253374999999,0.27075865,18.222336599703496,13.458821223017521,3.8118815528362524,3.0542404988563763,0.34615384615384615,0.15843467155311233,0.18027854007629787,0.1060115678496726
real,40/0.8 all_ankles,right,pitch,touchdown,4,0.07421680454419743,0.006901455900454517,0.358588025,0.20540635,0.9358255749999999,0.226866975,30.35975937733647,10.596151312089985,6.563065630100679,6.563065630100679,0.4571678321678322,0.12603021978021978,0.24478343449093298,0.20445809103688098
real,40/0.8 all_ankles,right,roll,swing,4,0.028313736323070805,0.007790234774001991,0.37682857500000005,0.173157175,1.0292808599999999,0.4201789250000001,25.93469482862365,19.60854477810418,4.569522606816129,3.8355578357731237,0.27543424317617865,0.22031107462141944,0.15303377336179685,0.5442113249232037
real,40/0.8 all_ankles,right,roll,touchdown,4,0.059058952390835695,0.016072521498921147,0.385310075,0.18994272,0.9379378299999999,0.35418146247499993,43.69424192738229,24.76403902151367,9.896686267612134,8.229875948856407,0.4697802197802198,0.29387279387279386,0.1701506563278256,0.273462818573059
sim,2504,left,pitch,swing,4,0.015549711584884163,0.01066592711815813,0.31847499999999995,0.15321275,0.504675,0.27698175,13.973768691564334,9.33214292237863,4.526003038440682,3.0326588533965415,0.1899669312169312,0.0984375,0.12168637546726421,0.9380031113297257
sim,2504,left,pitch,touchdown,4,0.022201331316999,0.017327160019165917,0.2536982,0.15330247500000002,0.34928344999999994,0.21603195000000003,10.992502382283256,18.824660329660073,22.268977742775498,8.693237300655674,0.125,0.2073135198135198,0.23322291493291436,0.25273287847009995
sim,2504,left,roll,swing,4,0.027242635558262493,0.0023343932625667927,0.40439525,0.0546119425,0.5553593800000001,0.0740813125,20.38006785226073,11.092232746638647,5.329789973860896,3.0326588533965415,0.24486863711001644,0.13615900383141763,0.1534261950001617,0.09755367895959202
sim,2504,left,roll,touchdown,4,0.04118912132947539,0.005373158992082898,0.36228467500000006,0.047677477499999996,0.526958475,0.080384475,29.54235015238625,22.39722360390213,10.241348052827233,8.693237300655674,0.3269230769230769,0.25597319347319347,0.3262299916391442,0.24030693931899416
sim,2504,right,pitch,swing,4,0.04591608999474593,0.0021353641557489336,0.49408157499999994,0.08799225,0.9107511499999998,0.12418225,13.488674490867671,3.910546792702702,3.0326588533965415,3.0326588533965415,0.2375,0.04650063856960408,0.2024037001356661,0.08566923294074569
sim,2504,right,pitch,touchdown,4,0.04537403509312283,0.007493070621879683,0.3537135,0.0936415,0.49281299999999995,0.130863,29.817162711943325,12.916190299182823,6.906955663534645,8.574151858180938,0.3326048951048951,0.14102564102564102,0.11693643972432463,0.23099081592940857
sim,2504,right,roll,swing,4,0.012633500292481718,0.0008106572404721448,0.24457981499999998,0.0346253613,0.5011824275,0.043872571299999996,23.454113621714857,4.717254628821877,3.0326588533965415,3.0326588533965415,0.24560771889400923,0.07096571906354515,0.1159029728433793,0.07719869860584282
sim,2504,right,roll,touchdown,4,0.022339234745388882,0.00408619328551589,0.128809845,0.04242244,0.2731263275,0.057639605,26.10719315792273,18.549847770102993,8.57415185818094,8.574151858180938,0.29455128205128206,0.28409090909090906,0.04786325496937558,0.2251377430199135
sim,3505,left,pitch,swing,4,0.013773283505774996,0.010943735925093932,0.40012662499999996,0.16458769999999998,0.49942562500000004,0.30402189999999996,7.839828835903093,8.671707779905672,3.836268188044951,3.078486817566936,0.09505952380952382,0.09310344827586206,0.1882374006894887,0.9084712697811859
sim,3505,left,pitch,touchdown,4,0.029113662336100948,0.014271539829028655,0.337068875,0.14975994999999998,0.4350190749999999,0.22019414999999998,10.634753716895307,14.463631454761146,16.68607514172215,6.6833610514123505,0.12857142857142856,0.16433566433566432,0.24919860157139412,0.4977686823874255
sim,3505,left,roll,swing,4,0.021744812021812967,0.003451898129058051,0.3853271725,0.12125496000000002,0.596553425,0.17745172975,20.670931335821656,15.881325294594689,3.859948855872389,3.078486817566936,0.23164112388250319,0.1931908831908832,0.1796914969118089,0.2076712695080061
sim,3505,left,roll,touchdown,4,0.030756115383912486,0.00960362623599318,0.3560164825,0.1425655525,0.46811892499999996,0.178945055,23.412946167428426,21.351947385084372,6.6833610514123505,6.6833610514123505,0.26467282717282714,0.2611471861471862,0.2170418452101739,0.3967004561619853
