stage,case_label,diag_csv,event_seq,side,touchdown_time_sec,touchdown_source,first_contact_time_sec,stable_minus_first_contact_sec
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,6,right,1778045948.3284006,kinematic_fk_hip,1778045948.3083072,0.020093441009521484
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,7,left,1778045948.67831,kinematic_fk_hip,1778045948.67831,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,8,right,1778045949.0183048,kinematic_fk_hip,1778045949.0183048,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,9,left,1778045949.398315,kinematic_fk_hip,1778045949.398315,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,10,right,1778045949.7283177,kinematic_fk_hip,1778045949.7283177,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,11,left,1778045950.128309,kinematic_fk_hip,1778045950.1083171,0.01999187469482422
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,12,right,1778045950.4483151,kinematic_fk_hip,1778045950.4383147,0.010000467300415039
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,13,left,1778045950.7984438,kinematic_fk_hip,1778045950.7984438,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,14,right,1778045951.1283042,kinematic_fk_hip,1778045951.1283042,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,15,left,1778045951.488309,kinematic_fk_hip,1778045951.488309,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,16,right,1778045951.8284392,kinematic_fk_hip,1778045951.8284392,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,17,left,1778045952.1883085,kinematic_fk_hip,1778045952.1883085,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,18,right,1778045952.548317,kinematic_fk_hip,1778045952.5282955,0.020021438598632812
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,19,left,1778045952.9083054,kinematic_fk_hip,1778045952.898289,0.010016441345214844
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,20,right,1778045953.249435,kinematic_fk_hip,1778045953.228416,0.02101898193359375
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,21,left,1778045953.6183023,kinematic_fk_hip,1778045953.5983226,0.01997971534729004
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,22,right,1778045953.948287,kinematic_fk_hip,1778045953.9282873,0.01999974250793457
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,23,left,1778045954.3182895,kinematic_fk_hip,1778045954.2983093,0.019980192184448242
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,24,right,1778045954.6482852,kinematic_fk_hip,1778045954.6282969,0.019988298416137695
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,25,left,1778045955.0182812,kinematic_fk_hip,1778045954.9982998,0.01998138427734375
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,26,right,1778045955.3283155,kinematic_fk_hip,1778045955.3283155,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,27,left,1778045955.7182868,kinematic_fk_hip,1778045955.6982899,0.01999688148498535
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,28,right,1778045956.0482855,kinematic_fk_hip,1778045956.028293,0.019992589950561523
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,29,left,1778045956.4182932,kinematic_fk_hip,1778045956.3983037,0.019989490509033203
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,30,right,1778045956.7482915,kinematic_fk_hip,1778045956.7282896,0.020001888275146484
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,31,left,1778045957.1182907,kinematic_fk_hip,1778045957.0982912,0.01999950408935547
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,32,right,1778045957.4483,kinematic_fk_hip,1778045957.4283051,0.019994735717773438
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,33,left,1778045957.818297,kinematic_fk_hip,1778045957.7982876,0.020009279251098633
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,34,right,1778045958.1482987,kinematic_fk_hip,1778045958.1284263,0.019872426986694336
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,35,left,1778045958.5182953,kinematic_fk_hip,1778045958.4982991,0.019996166229248047
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,36,right,1778045958.8484628,kinematic_fk_hip,1778045958.8283389,0.020123958587646484
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,37,left,1778045959.2183063,kinematic_fk_hip,1778045959.1982937,0.020012617111206055
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,38,right,1778045959.548291,kinematic_fk_hip,1778045959.5282972,0.01999378204345703
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,39,left,1778045959.918301,kinematic_fk_hip,1778045959.8983104,0.01999068260192871
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,0,left,1778045425.1428285,kinematic_fk_hip,1778045425.1428285,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,1,right,1778045425.452839,kinematic_fk_hip,1778045425.452839,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,2,left,1778045425.8128414,kinematic_fk_hip,1778045425.8128414,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,3,right,1778045426.1128397,kinematic_fk_hip,1778045426.1128397,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,4,left,1778045426.4828308,kinematic_fk_hip,1778045426.4828308,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,5,right,1778045426.8128362,kinematic_fk_hip,1778045426.8128362,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,6,left,1778045427.2028403,kinematic_fk_hip,1778045427.2028403,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,7,right,1778045427.5729396,kinematic_fk_hip,1778045427.5528479,0.020091772079467773
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,8,left,1778045427.9128985,kinematic_fk_hip,1778045427.9128985,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,9,right,1778045428.2628338,kinematic_fk_hip,1778045428.2530131,0.009820699691772461
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,10,left,1778045428.6228611,kinematic_fk_hip,1778045428.6129045,0.009956598281860352
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,11,right,1778045428.942848,kinematic_fk_hip,1778045428.942848,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,12,left,1778045429.3328521,kinematic_fk_hip,1778045429.3129065,0.019945621490478516
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,13,right,1778045429.6428392,kinematic_fk_hip,1778045429.6428392,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,14,left,1778045430.0328515,kinematic_fk_hip,1778045430.01284,0.020011425018310547
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,15,right,1778045430.3428428,kinematic_fk_hip,1778045430.3428428,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,16,left,1778045430.7328398,kinematic_fk_hip,1778045430.7128444,0.019995450973510742
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,17,right,1778045431.0428462,kinematic_fk_hip,1778045431.0428462,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,18,left,1778045431.4328365,kinematic_fk_hip,1778045431.41284,0.01999664306640625
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,19,right,1778045431.7428262,kinematic_fk_hip,1778045431.7428262,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,20,left,1778045432.1228347,kinematic_fk_hip,1778045432.1128407,0.009994029998779297
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,21,right,1778045432.4428277,kinematic_fk_hip,1778045432.4428277,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,22,left,1778045432.8228288,kinematic_fk_hip,1778045432.8128452,0.009983539581298828
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,23,right,1778045433.142832,kinematic_fk_hip,1778045433.142832,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,24,left,1778045433.5328465,kinematic_fk_hip,1778045433.5128422,0.0200042724609375
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,25,right,1778045433.8428304,kinematic_fk_hip,1778045433.8428304,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,26,left,1778045434.2328315,kinematic_fk_hip,1778045434.212836,0.019995450973510742
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,27,right,1778045434.5428293,kinematic_fk_hip,1778045434.5428293,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,28,left,1778045434.932841,kinematic_fk_hip,1778045434.9128413,0.01999974250793457
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,29,right,1778045435.2428267,kinematic_fk_hip,1778045435.2428267,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,30,left,1778045435.6328402,kinematic_fk_hip,1778045435.6128378,0.020002365112304688
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,31,right,1778045435.9428236,kinematic_fk_hip,1778045435.9428236,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,32,left,1778045436.3328493,kinematic_fk_hip,1778045436.3128607,0.019988536834716797
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,33,right,1778045436.6428354,kinematic_fk_hip,1778045436.6428354,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,34,left,1778045437.0328407,kinematic_fk_hip,1778045437.0128355,0.020005226135253906
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,35,right,1778045437.3428304,kinematic_fk_hip,1778045437.3428304,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,36,left,1778045437.7328508,kinematic_fk_hip,1778045437.712933,0.019917726516723633
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,37,right,1778045438.0428314,kinematic_fk_hip,1778045438.0428314,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,38,left,1778045438.4328315,kinematic_fk_hip,1778045438.4128428,0.0199887752532959
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,39,right,1778045438.7428193,kinematic_fk_hip,1778045438.7428193,0.0
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,40,left,1778045439.1327727,kinematic_fk_hip,1778045439.1129293,0.019843339920043945
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,41,right,1778045439.4428277,kinematic_fk_hip,1778045439.4428277,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,0,left,1778046113.9219964,kinematic_fk_hip,1778046113.9219964,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,1,right,1778046114.2519724,kinematic_fk_hip,1778046114.241992,0.009980440139770508
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,left,1778046114.6220117,kinematic_fk_hip,1778046114.6019714,0.020040273666381836
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,right,1778046114.9119933,kinematic_fk_hip,1778046114.9119933,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,left,1778046115.332024,kinematic_fk_hip,1778046115.3119879,0.02003622055053711
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,5,right,1778046115.6519744,kinematic_fk_hip,1778046115.6519744,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,6,left,1778046116.0119798,kinematic_fk_hip,1778046116.0119798,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,7,right,1778046116.351983,kinematic_fk_hip,1778046116.351983,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,8,left,1778046116.7119887,kinematic_fk_hip,1778046116.7119887,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,9,right,1778046117.0519981,kinematic_fk_hip,1778046117.0519981,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,10,left,1778046117.43198,kinematic_fk_hip,1778046117.4119878,0.01999211311340332
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,11,right,1778046117.7520118,kinematic_fk_hip,1778046117.7520118,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,12,left,1778046118.1320076,kinematic_fk_hip,1778046118.1119945,0.020013093948364258
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,13,right,1778046118.4519897,kinematic_fk_hip,1778046118.4519897,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,14,left,1778046118.8119733,kinematic_fk_hip,1778046118.8119733,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,15,right,1778046119.1619742,kinematic_fk_hip,1778046119.151983,0.009991168975830078
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,16,left,1778046119.512012,kinematic_fk_hip,1778046119.512012,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,17,right,1778046119.8619816,kinematic_fk_hip,1778046119.8519795,0.01000213623046875
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,18,left,1778046120.2119768,kinematic_fk_hip,1778046120.2119768,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,19,right,1778046120.552012,kinematic_fk_hip,1778046120.552012,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,20,left,1778046120.9319742,kinematic_fk_hip,1778046120.9119875,0.019986629486083984
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,21,right,1778046121.2519937,kinematic_fk_hip,1778046121.2519937,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,22,left,1778046121.611977,kinematic_fk_hip,1778046121.611977,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,23,right,1778046121.951973,kinematic_fk_hip,1778046121.951973,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,24,left,1778046122.311993,kinematic_fk_hip,1778046122.311993,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,25,right,1778046122.661987,kinematic_fk_hip,1778046122.651978,0.010009050369262695
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,26,left,1778046123.0119762,kinematic_fk_hip,1778046123.0119762,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,27,right,1778046123.3619752,kinematic_fk_hip,1778046123.3520133,0.009961843490600586
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,28,left,1778046123.7119737,kinematic_fk_hip,1778046123.7119737,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,29,right,1778046124.0521905,kinematic_fk_hip,1778046124.0521905,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,30,left,1778046124.4120276,kinematic_fk_hip,1778046124.4120276,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,31,right,1778046124.751995,kinematic_fk_hip,1778046124.751995,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,32,left,1778046125.111976,kinematic_fk_hip,1778046125.111976,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,33,right,1778046125.4519942,kinematic_fk_hip,1778046125.4519942,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,34,left,1778046125.8119848,kinematic_fk_hip,1778046125.8119848,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,35,right,1778046126.161973,kinematic_fk_hip,1778046126.1519687,0.010004281997680664
